DORCHESTER-QUEENS-AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY688898,Long,-2.44321,Lat,50.707,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1575/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.41,6.09,,,,,,,,,,,0.7,4.43,2.66,0.98,2.13,4.38,5.42,4.71,4.07,6.73,3.89
February,,,,,,,,1.05,2.56,,,,,,,,,,,6.88,5.97,0.82,2.39,3.97,2.49,0.16,4.44,3.66,0.42,3.34
March,,,,,,,,0.45,1.4,,,,,,,,,,,2.21,4.75,3.68,0.76,4.56,1.57,0.8,3.31,1.49,3.97,2.7
April,,,,,,,,0.11,2.28,,,,,,,,,,,2.61,2.46,2.12,3.13,0.1,0.89,1.65,0.26,0.62,2.76,3
May,,,,,,,,1.73,0.87,,,,,,,,,,,1.35,2.6,3.12,3.22,2.25,5.14,0.94,3.25,2.99,1.57,1.8
June,,,,,,,,0.76,3.23,,,,,,,,,,,1.06,0.53,0.97,2.83,2.86,3.2,2.78,2.66,2.81,1.15,2.77
July,,,,,,,,2.03,5.35,,,,,,,,,,,5.93,2.38,0.89,3.67,3.18,7.55,3.26,5.01,2.74,1.34,4.58
August,,,,,,,,3.77,2.79,,,,,,,,,,,3.78,6.76,3.57,2.55,4,0.54,4.97,3.7,2.75,2.07,5.56
September,,,,,,,,2.2,0.99,,,,,,,,,,4.81,5.11,4.73,4.04,3.61,4.4,1.89,7.18,5.09,6.14,0.12,5.33
October,,,,,,,,5.13,7.53,,,,,,,,,,7.93,1.42,1.07,4.98,3.97,3.79,3.79,2.29,3.31,3.71,4.44,10.41
November,,,,,,,,6.51,8.58,,,,,,,,,,4.96,7.28,9.78,3.93,2.08,6.71,3.51,1.01,2.71,3.77,4.38,6.74
December,,,,,,,,3.98,3.18,,,,,,,,,,2.4,3.47,3.31,3.63,1.17,3.55,6.51,5.68,2.74,5.53,9.25,4.33
Total,,,,,,,,32.13,44.85,,,,,,,,,,,41.8,48.77,34.41,30.36,41.5,41.46,36.14,41.19,40.28,38.2,54.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is for 1 Queens Avenue ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Observations terminated at present May resume after war at another address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer Miss Bond continued readings in 1953 after death of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Aug Moved from Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Apr 28 Inspection Some o/s by trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Dorchester 1 Queens Avenue SRC_ID 7979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
