"TEIGNMOUTH (SHALDON RES.)",,,,,,,,,,,,
Grid ref,SX927713,Long,-3.515308,Lat,50.531605,,,,,,,
Station no,1728,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.89,3.50,0.58,1.88,5.05,4.46,3.18,,,,,
February,5.90,0.56,1.39,3.45,3.12,0.15,5.74,,,,,
March,4.67,3.17,0.31,3.89,2.12,1.11,2.95,,,,,
April,1.65,3.00,3.08,0.12,0.99,0.74,0.11,,,,,
May,2.89,2.85,3.81,2.18,4.47,0.81,1.81,,,,,
June,0.77,1.45,2.03,3.31,2.75,1.45,2.08,,,,,
July,1.67,0.99,1.86,2.32,2.33,2.68,3.23,,,,,
August,4.18,4.25,1.56,2.86,0.28,3.50,2.25,,,,,
September,4.42,3.08,3.15,2.90,1.07,6.31,2.23,,,,,
October,0.93,5.78,3.02,2.92,2.47,1.88,2.17,,,,,
November,6.53,6.32,2.06,8.07,4.83,1.10,2.31,,,,,
December,3.50,3.31,0.60,3.84,6.31,5.35,,,,,,
Total,41.00,38.26,23.45,37.74,35.79,29.54,,,,,,
Calc annual,41.00,38.26,23.45,37.74,35.79,29.54,28.06,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
