"HAYFIELD (SANDY HEYS)",,,,,,,,,,,,
Grid ref,SK075894,Long,-1.888663,Lat,53.401372,,,,,,,
Station no,2643/9/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.67,5.65,3.75,5.80,5.30,8.60,3.65,6.10,5.50,9.80,,
February,6.10,4.70,4.25,4.80,4.65,3.35,4.25,8.80,0.90,6.00,,
March,8.30,3.55,4.20,4.20,4.85,2.40,5.20,3.10,2.75,2.50,,
April,3.50,4.95,3.70,1.10,3.35,2.80,0.80,1.90,4.00,3.30,,
May,2.64,3.80,2.90,4.10,6.70,2.80,1.75,4.80,0.75,2.55,,
June,2.20,3.15,3.75,4.80,3.70,3.95,2.20,6.45,1.40,1.60,,
July,4.80,5.25,7.55,10.55,1.05,8.10,7.10,6.70,5.30,8.75,,
August,7.70,3.50,5.20,7.85,1.35,12.05,8.45,4.60,0.80,7.70,,
September,3.55,6.85,3.90,6.25,3.40,6.80,9.70,8.20,0.40,5.75,,
October,1.50,5.60,3.10,10.65,4.35,4.20,5.40,6.08,4.15,7.00,,
November,10.60,4.60,4.10,9.15,3.15,2.70,3.80,2.15,7.00,7.35,,
December,8.38,5.60,3.25,11.40,8.20,8.80,6.10,4.80,8.50,6.10,,
Total,66.94,57.20,49.65,80.65,50.05,66.55,58.40,63.68,41.45,68.40,,
Calc annual,66.94,57.20,49.65,80.65,50.05,66.55,58.40,63.68,41.45,68.40,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
