HAYFIELD-SANDY-HEYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK075894,Long,-1.8886632,Lat,53.401372,Elevation,2040,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/9/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.58,7.07,7.31,5.97,9.3,,,,7.61,8.1,,6.3,,13.56,6.6,4.6,,,3.75,,,,,,,9.8
February,,,,,10.73,3.5,10.22,2.57,5.98,,,,4.8,,,8,,,2.97,7.67,,4.7,4.25,4.8,4.65,3.35,4.25,,,6
March,,,,,2.78,4.04,7.61,2.92,4.45,4.47,6.02,,1.9,2.3,2.02,2.5,,1.62,3.01,2.78,,3.55,4.2,4.2,4.85,2.4,5.2,,,2.5
April,,,,,3.14,2.75,5.19,0.74,3.94,3.82,3.72,2.18,3.32,3.36,2.56,2.38,4.26,,5.22,4.66,3.5,4.95,3.7,1.1,3.35,2.8,,1.9,,3.3
May,,,,,0.6,1.31,2.68,4.51,2.85,1.6,3.62,4.24,3.8,6.38,3.87,2,3.95,1.93,3.31,2.33,2.64,,2.9,4.1,6.7,2.8,1.75,4.8,0.75,2.55
June,,,,,4.48,4.05,2.75,5.15,3.1,1.1,2.64,1.55,4.9,,4.92,5,3.38,7.32,1.8,3.8,,3.15,3.75,4.8,3.7,3.95,,6.45,1.4,
July,,,,,2.82,7.64,5.27,7.32,8.62,5.9,4.13,,,4.92,1.85,6.93,4.1,3.54,2.8,4.15,4.8,5.25,7.55,10.55,1.05,,,,,8.75
August,,,,,2.07,3.54,1.5,3,2.46,2.95,8,4.93,,,3.62,6.12,0.53,6.76,5.15,5,7.7,3.5,5.2,7.85,1.35,12.05,8.45,4.6,,7.7
September,,,,,7.18,8.35,1.81,3.8,1.8,5.17,1,4,6.36,6.45,,7.65,1.7,3.78,2.25,8.75,3.55,6.85,3.9,6.25,3.4,6.8,,8.2,,5.75
October,,,,,10.23,6.7,3.13,8.68,4.31,4.92,,8.58,3.57,5.8,7.27,1.45,1.3,4.05,5.1,3.4,1.5,5.6,3.1,10.65,4.35,4.2,5.4,6.08,4.15,7
November,,,,,6.6,7.35,2.75,6,8.9,9.82,4.34,1.57,5.46,10.08,1.11,8.94,8.31,3.63,8.24,8.4,10.6,4.6,4.1,9.15,3.15,,,2.15,,7.35
December,,,,,7.96,6.38,4.22,7.39,3.7,6.3,4,4.49,3,4.02,3.5,6.89,7.58,4.28,9.45,4.48,8.38,5.6,3.25,11.4,8.2,,6.1,4.8,,6.1
Total,,,,,64.17,62.68,54.44,58.05,59.41,,,,,,,64.16,,,55.9,60.02,,,49.65,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is in the vicinity of Sandy Heys. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
