TORRANCE GLENORCHARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS598741,Long,-4.24617,Lat,55.939441,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,3.42,5.48,5.47,6.38,3.25,4.06,4.13,4,1.56,6.62,2.72,3.94,3.73,5.12,,,,,,,,,,
February,,,,,,,,3.21,3.19,3.09,4.31,8.48,3.68,2.6,4.43,6.41,4.06,0.69,5.78,1.02,,,,,,,,,,,
March,,,,,,,,4.88,5.02,1.91,2.25,1.74,6.28,4.61,5.78,2.68,1.45,1.9,1.07,4.21,,,,,,,,,,,
April,,,,,,,,1.47,1.52,4.87,3.92,2.97,2.43,3.33,2.25,3.02,2.44,1.72,0.98,1.55,,,,,,,,,,,
May,,,,,,,,4.17,3.39,3.61,2.26,2.03,2.25,3.43,2.18,0.94,3.92,2.72,2.01,0.54,,,,,,,,,,,
June,,,,,,,,5.35,2.58,2.58,1.68,2.3,5.46,2.34,0.63,2.34,2.36,2.6,0.56,3.31,,,,,,,,,,,
July,,,,,,,,3.49,3.44,3.83,5.53,2.87,2.43,1.68,2.57,5.25,3.3,2.62,2.42,1.6,,,,,,,,,,,
August,,,,,,,,7.03,3.44,3.85,9.65,3.27,4.42,1.69,4.11,2.21,2.88,3.89,2.67,2.25,,,,,,,,,,,
September,,,,,,,,1.99,6.29,2.03,1.67,2.32,2.98,1.52,1.52,1.82,1.77,3.05,5.05,3.06,,,,,,,,,,,
October,,,,,,,,6.54,2.16,4.82,2.73,3.5,4.66,1.25,1.37,2.75,6.95,6.24,5.26,0.63,,,,,,,,,,,
November,,,,,,,,3.15,3.75,2.71,3.47,5.67,4.4,6.45,5.1,2.22,5.82,8.25,3.2,4.61,,,,,,,,,,,
December,,,,,,,,7.66,3.39,5.36,5.49,7.16,6.62,3.4,4.35,5.37,5.36,3.12,5.06,5.86,,,,,,,,,,,
Total,,,,,,,,52.36,43.65,44.13,49.34,45.56,49.67,36.43,38.29,36.57,46.93,39.52,38,32.37,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
