BERKHAMPSTED-GOLF-CLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL004089,Long,-0.54638113,Lat,51.769783,Elevation,565,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.95,3.29,2.76,3.51,1.66,2.91,2.07,3.35,2.83,4.49,1.6,3.54,1.3,2.22,,,,,,,,
February,,,,,,,,,,3.19,0.67,0.26,2.89,4.22,0.63,3.72,2.22,3.98,1.98,0.74,0.82,2.54,0.28,,,,,,,,
March,,,,,,,,,,4.34,1.83,1.03,2.31,2.73,1.63,1.13,0.28,2.26,2.37,0,1.62,0.05,,,,,,,,,
April,,,,,,,,,,3.74,4.81,1.55,3.69,1.8,3.37,2.14,3.21,1.65,1.18,1.44,2.91,3.83,,,,,,,,,
May,,,,,,,,,,0.37,1.14,1.5,0.95,2.16,6,2.27,1.37,1.72,1.27,2.1,2.85,3.34,,,,,,,,,
June,,,,,,,,,,1.32,1.96,0.24,1.05,0.51,2.36,0.03,3.25,3.61,2.4,0.84,0.8,1.34,,,,,,,,,
July,,,,,,,,,,2.72,4.2,0.18,4.52,3.33,3.88,5.38,2.56,2.73,2.8,1.94,2.32,4.46,,,,,,,,,
August,,,,,,,,,,3.04,1.3,1.4,3.86,2.64,2.29,2.68,1.22,4.91,2.56,0.31,3.16,4.42,,,,,,,,,
September,,,,,,,,,,1.86,1.75,2.26,2.58,2.43,3.6,3.2,2.12,4.96,0.64,0.13,3.57,2.83,,,,,,,,,
October,,,,,,,,,,1.12,2.09,0.77,0.87,4.93,4.22,3.55,2.36,2.22,4.34,3.99,1.24,0.83,,,,,,,,,
November,,,,,,,,,,2.27,1.56,2.19,1.4,1.72,2.99,2.24,5.11,3.2,3.29,6.93,6.59,3.85,,,,,,,,,
December,,,,,,,,,,5.64,2.59,1.73,3.18,3.32,4.24,2.28,0.43,3.16,2.73,6.42,2.14,1.45,,,,,,,,,
Total,,,,,,,,,,33.56,27.19,15.87,30.81,31.45,38.12,30.69,27.48,37.23,30.05,26.44,31.56,30.24,,,,,,,,,
