TEDBURN-ST-MARY-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX807944,Long,-3.69197,Lat,50.73727,Elevation,370,ft,,,,,,,,,,,,,
Station no,1775,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,-999,4.6,4.79,5.54,4.56,1.63,5.38,2.88,3.82,2.13,3.08,1.01,6.3,6.65,4.6,,
February,,,,,-999,4.82,2.66,3.81,3.38,2.36,1.81,2.53,0.06,3.27,0.19,3.4,4.67,5.54,1.13,,
March,,,,,-999,0.8,1.01,4.05,3.76,0.24,2.98,2.01,1.96,3.31,3.58,1.76,4.36,5.68,0.21,,
April,,,,,-999,3.34,2.02,2.06,2.32,0.96,3.5,3.65,2.89,1.13,3.41,4.3,2.87,3.6,0.25,,
May,,,,,-999,4.4,1.5,0.52,1.72,2.66,1.93,3.75,3.16,2.65,1.46,2.34,0.78,2.54,2.64,,
June,,,,,-999,0.08,3.11,2.13,1.85,2.63,0.44,3.25,1.78,2.5,2.16,3.09,1.73,1.35,1.5,,
July,,,,,-999,3.49,1.29,5.12,1.85,1.61,1.56,4.71,2.73,2.27,0.41,0.65,6.58,1.54,2.73,,
August,,,,,3.41,1.37,1.17,3.48,1.93,1.79,4.08,3.95,1.9,2.01,2.81,2.07,0.47,1.29,4.21,,
September,,,,,,3.57,1.49,5.59,1.5,0.42,5.81,1.32,3.98,1.76,2.14,3.72,3.54,2.56,1.52,,
October,,,,,,2.96,3.03,1.4,4.38,5.18,4.58,0.76,7.49,3.33,2.21,4.41,1.95,3.61,3.36,,
November,,,,,,3.34,8.73,3.33,4.4,8.81,6.12,6.42,2.29,1.46,2.33,5.82,3.13,2.03,5.65,,
December,,,,,,4.5,0.88,3.94,4.95,8.28,4.22,1.92,2.47,1.79,9.51,5.17,3.49,3.5,4.21,,
Total,,,,,,37.27,31.68,40.97,36.6,36.57,42.41,37.15,34.53,27.61,33.29,37.74,39.87,39.89,32.01,,
,,,,,,,,,,,,,,,,,,,,,
Elevation on sheet is 400ft but would have to have been opposite side of church so lowered to height at Rectory,,,,,,,,,,,,,,,,,,,,,
1924 Jan-July Combined value 20.51,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated due to death of observer,,,,,,,,,,,,,,,,,,,,,
