HEADLEY-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU815384,Long,-0.83643,Lat,51.13951,Elevation,250,ft,,,,,,,,,,,,
Station no,RR7956,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,5.3,1.22,6.06,0.88,2.21,1.01,3,1.18,3.4,4.28,0.69,,,,,
February,,,,,4.08,0.83,2.93,1.51,0.88,0.45,4.06,1.2,2.29,1.04,5.88,,,,,
March,,,,,1.61,4.48,1.48,0.97,2.54,3.94,1.15,2.12,4.03,3.17,5.09,,,,,
April,,,,,1.42,1.34,0.56,4.68,2.95,2.02,1.81,1.94,0,2.69,1.41,,,,,
May,,,,,2.76,0.6,2.39,1.57,2.12,2.3,1.89,2.85,1.44,1.73,1.09,,,,,
June,,,,,1.3,4.87,2.27,2.08,0.98,3.23,2.16,1.35,3.35,0,0.97,,,,,
July,,,,,1.33,0.48,0.4,1.27,1.76,2.26,1.81,0.81,2.11,1.22,2.27,,,,,
August,,,,,2.85,3.25,0.57,2.41,4.02,1.9,2.68,0.47,4.27,1.17,1.29,,,,,
September,,,,,1.65,2.22,1.77,0.56,1.68,3.01,0.29,0.92,3.18,2.86,1.3,,,,,
October,,,,,2.09,1.55,5.18,6.26,1.87,5.86,3.53,4.11,3.62,4.01,1.33,,,,,
November,,,,,1.3,4.36,4.58,2.55,0.97,0.39,3.64,4.34,2.04,2.5,3.91,,,,,
December,,,,,3.25,0.64,2.26,3.47,2.86,3.31,5.44,8.21,4.14,1.6,10.27,,,,,
Total,,,,,28.94,25.84,30.45,28.21,24.84,29.68,31.46,29.5,33.87,26.27,35.5,,,,,
,,,,,,,,,,,,,,,,,,,,
Headley Park House,,,,,,,,,,,,,,,,,,,,
