DRUMLANRIG CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX852992,Long,-3.808542,Lat,55.273527,Elevation,191,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4,4.5,7.1,9,5.6,5.5,,4.6,4,,,6.2,6.9,4.4,5,11,10.1,5.9,11.1,4.8,12.5,5.5,2,2.3,0.2,3.8,8.4,9.1,5.1,6,4.1,4.2,2.8,6.4,4.3,3.1,2,4.2,0.7,1.9,0.5,3.22,6.89,5.56,3.02,3.27,5.82,4.36,2.92,5.37,2.38,4.7,6.02,4.69,2.82,5.33,5.59,4.05,4.26,7.09,3.34,7.1,4.7,7.9,8.03,7.61,3.33,5.55,5.06,,,,1.94,7.73,4.84,8.72,6.69,8.1,2.64,6.93,8.82,9.24,5.87,4.6,1.52,6.88,6.68,5.79,4.49,6.27,5.83,7.76,5.01,4,6.57,6.54,1.62,5.42,4.3,4.37,7.2,6.37,2.46,4.26
February,,3.65,2.6,7.1,3.8,5.2,1.21,,3,2.7,,,8,6.3,6.2,5,7.4,1.2,3,2.1,6.7,5.9,3,2.7,6,2,5.3,6.9,10,5.5,1.6,2.3,0.5,2.1,0.4,0.1,1.2,5.1,9.9,0.1,1.4,2.4,4.87,3.82,4.42,1.61,2.24,7,3.4,3.06,3.32,3.35,3.42,2.06,7.66,6.22,3.92,3.71,8.83,9.12,5.41,1.31,6.68,0.93,4.84,1.18,4.36,6.25,0.65,5.33,,,,2.27,0.39,4.42,0.13,4.47,0.42,6.3,2.58,6.05,3.6,6.81,2.13,4.54,2.44,4.19,1.63,6.87,3.29,0.5,5.05,5.32,4.68,3.53,1.03,1.51,3.78,1.5,1.04,3.64,3.25,1.69,6.15
March,,4.1,1.4,5.6,5,6,4.5,,4,2,,,7.7,0.8,1.6,0.9,3.9,3.7,3.9,2.8,7.3,4,2.1,3.6,2.8,1.2,3.8,1,5.2,2.1,4.7,2,2.1,2,1.8,2.8,0.4,1.2,2.7,2.8,4,5.4,1.13,4.27,0.45,2.39,3.12,10.07,3.72,5.52,3.21,4.67,6.42,4.17,4.21,1.69,6.6,6.14,6.07,2.04,1.74,2.86,1.59,4.12,5.68,7.29,2.21,2.31,1.4,1.21,,,,1,3.02,1.44,3.15,2.87,2.8,2.19,3.14,2.32,3.18,5.08,5.29,3.57,4.37,1.83,0.66,3.58,3.56,4.97,3.89,2.04,5.45,3.66,3.27,0.56,3.34,2.57,2.67,3.56,1.07,3.33,2.02
April,,2.5,3.6,3.5,0.9,0.6,4.9,,2.1,0.7,,,4,2.3,2.2,3.2,2,0.15,3.8,2.1,2.9,4.5,3,1.2,4.8,0.4,2.7,3.5,2.1,3.5,1.7,1.2,0.6,1.1,0.7,-999,0.4,0.6,1.2,1.6,1.4,1.8,3.09,4.11,3.36,3.55,2.83,1.52,4.74,3.68,1.51,2.2,1.5,4.65,3.93,5.16,1.21,5.1,2.54,2.88,3.47,2.63,0.63,3.95,2.83,1.47,2.89,4.3,3,5.62,,,,1.33,2.39,2.17,4.18,1.91,4.37,4.12,1.3,3.73,0.59,2.02,2.15,1.91,3.17,3.57,2.5,2.34,1.57,7.52,3.21,5.38,3.8,2.8,2.58,2.22,1.22,2.22,1.26,2.41,1.34,3.82,4.54
May,,2.2,5.3,0.6,2.5,1,3.3,,1.3,6.1,,,3.4,0.6,3.9,0.9,3.3,2.3,1.2,2.9,2.1,3.9,4.4,1.1,1.2,3.1,2.4,2,4.6,2.7,2.8,1.3,2.5,2,3.5,-999,3.7,2.6,1.9,0,0.1,1.9,1.79,3.86,4.1,3.14,2.14,2.21,3.06,2.4,5.84,4.36,2.75,2.27,2.05,2.58,1.36,5.5,2.55,1.37,3.79,3.12,3,1.12,5.17,2.82,3.39,2.71,4.45,6.55,,,,4.15,2.08,3.79,3.54,3.25,4.08,0.9,1.64,2.37,5.31,0.75,2.06,4.25,5.21,4.77,2.68,5.88,1.53,5.14,1.7,2.98,1.84,2.33,3.56,2.66,5.7,3.18,2.32,2.9,3.66,1.04,2.27
June,,2.5,3.1,2.3,5.5,3,5.3,,3.2,0.05,,,1,1.2,1.7,3.2,8,1.6,1.45,5.9,5,4.1,2.1,6.2,1.4,3.4,3,2.8,0.6,1,0.3,0.2,1.6,1.4,4.7,0.9,5.3,1.4,2.6,0.4,2.5,3.6,1.87,2.56,3.82,4.62,1.12,2.2,2.64,2.31,1.81,4.84,3.34,3.32,1.8,3.74,4.54,3.12,0.42,1.76,1.68,2.44,1.12,2.71,2.02,0.48,1.43,1.43,2.14,0.31,,,,2.27,2.76,7.5,1.91,2.07,2.24,5.97,2.94,3.31,5.83,3.35,1.21,1.11,1.16,4.43,3.61,4.34,4.11,4.47,5.28,1.15,3.53,1.6,2.96,1.63,4.02,2.66,3.46,1.51,4.61,3.08,2.52
July,,2.4,4.5,3,1.9,4.5,5.5,,2.3,2.7,,,0.7,1.1,2,4.8,4.1,7.7,3.9,2.7,3.1,3.3,0.2,5.1,3.1,4,8.5,2.8,6.7,1.4,3.7,4.3,6.1,6.6,2.7,0.2,1.7,2.3,1.6,4.8,5.1,1.8,0.5,5.02,2.63,1.45,2.5,4.19,2.94,1.72,2.74,3.27,3.47,4.35,5.04,1.83,4.08,0.71,3.33,4.93,3.89,1.51,4.08,1.08,3.78,3.31,4.74,5.93,5.4,2.92,,,,5.28,6.09,4.82,5.43,5.3,2.65,1.74,4.46,5.6,6.28,6.08,5.9,3.05,2.94,3.69,4.4,3.5,3.7,5.98,2.78,2.66,6.36,2.14,5.02,5.88,4.26,2.37,5.62,2.98,4.98,4.86,3.22
August,,2.7,4.5,2.3,6.1,8,5,,1.1,5.9,,,4.1,1.6,0.11,3.8,4.3,5.9,6.8,3.1,5.4,5.4,3.8,6.4,0.4,4,2.8,5.1,2.5,2.4,2.2,3,3.4,4.2,1.8,5.8,7.3,4.4,2.2,4.7,1.2,7.2,4.55,3.17,4.94,5.53,2,7.07,5.16,3.68,5.66,4.79,3.76,1.68,9.54,3.32,3.78,1.25,4.8,3.65,5.06,5.22,5.61,3.2,3.88,7.85,2.3,8.43,4.41,3.36,,,,6.08,7.59,2.04,1.67,2.6,6.56,2.47,3.26,3.25,2.08,1.62,1.51,6.58,5.63,5.54,3.37,2,3.5,0.22,7.19,3.74,8.6,8.37,3.07,2.88,4.08,1.65,6.85,3.54,5.38,0.75,3.99
September,,3.3,4.4,4.7,1,7.5,2,,7,0.9,,,2.5,7.7,4.4,1.2,5.7,4.3,6.6,7.6,4.2,3.8,5.6,5.6,3.9,4.3,4.9,5,2.2,8,5.6,3.4,0.3,1.1,3.3,5.1,3.1,2.1,0.1,0.1,4.2,2.6,3.62,4.02,3.43,4.78,2.86,3.84,3.09,1.8,0.76,1,6.27,2.75,1.32,1.96,2.08,2.27,1.44,1.54,1.31,4.69,7.29,2.82,4.09,1.22,2.39,5.85,5.58,2.34,,,2.53,0.69,3.49,1.29,5.44,1.76,6.61,5.83,5.06,2.97,5.5,2.46,4.73,2.55,4.6,3.62,5.41,5.5,9.72,4.06,7,2.81,11.73,5.04,1.93,5.8,7.18,4.15,4.75,3.69,6.13,1.56,3.83
October,2.6,3.6,6.5,4,6.8,5,9.2,,4.2,3.9,,,5.3,1.9,7.5,4.7,4,8.1,11.1,4.8,8.7,6.8,5.2,2.4,0.6,3.2,5.4,6.2,2.7,3.2,3.5,0.6,2.7,4.7,1.3,10,4,4.2,3,3.3,2.5,2.2,4.1,3.76,6.07,5.52,3.02,10.68,2.32,3.25,9.62,8.09,0.84,9.09,3.38,4.89,4.21,3.06,2.55,3.19,8.6,7.8,8.51,2.32,2.66,4.2,2.38,6.2,4.74,5.65,,,9.18,6.16,8.17,3.54,7.79,3.43,7.31,8.53,5.32,4.31,10.29,3.71,5.8,4.84,5.54,10.12,5.3,5.77,0.86,1.62,4.79,6.84,4.06,0.83,5.11,4.42,11.08,3.64,2.99,5.01,3.94,6.25,3.55
November,1.75,3.5,2,4.2,,7.5,2.5,,4.6,3.8,,,1.1,5.3,2.8,2.9,8.4,3.6,6.3,6.4,4.9,10.3,1.3,0.8,6,7.6,7.8,7.5,3.2,2.5,4.3,4.4,8.1,2.2,11.1,4.8,4.2,1.5,4.7,4.8,0.5,3.5,4.69,6.97,5.33,2.91,3.79,4.05,1.82,4.25,3.81,3.79,3.5,1.83,3.67,6.05,3.87,6.27,6.27,2.58,5.65,5.72,6.16,3.36,3.32,2.63,2.8,4.9,3.39,1.81,,,7.41,8.32,5.13,11.31,3.9,2.26,1.19,6.4,6.11,1.47,9.95,9,6.84,4.58,1.7,3.53,8.38,0.37,8.08,6.71,4.66,7.33,4.27,11,2.8,6.8,10,2.45,1.66,2.78,2.53,8.27,7.92
December,8.35,5.5,5.6,4.5,4.6,5.5,8.5,,4.6,6.8,,,6,7.8,2,6.3,9.5,3.5,2.28,4.9,8.6,6,2,3.1,1.3,5.2,2.5,5.4,5.5,1.9,5.4,4.6,4.9,4,1,5.7,2.1,5.6,4.2,3.2,5.2,9.1,6.22,3.79,9.59,5.39,5.96,4.21,3.73,3.95,3.39,5.4,4.24,5.8,5.68,9.6,10.1,4.32,8.01,7.53,5.93,2.76,5.58,7.49,4.74,7.29,4.73,4.53,8.85,5.5,,,4.31,11.18,5.46,5.09,11.39,1.57,9.26,4.48,7.96,4.72,5.04,2.82,8.22,2.86,8.9,2.89,7.43,4.07,5.01,2.7,7.47,10.58,2.28,8.65,4.75,5.63,6.02,6.68,5.9,4.5,5.14,8.31,4.77
Total,,39.95,48,48.9,,59.4,57.41,,42,39.55,,,50,43.5,38.81,41.9,71.6,52.15,56.23,56.4,63.7,70.5,38.2,40.2,33.8,38.6,52.9,56.6,54.4,39.3,41.8,31.4,37,34.2,38.7,43.7,36.5,33,38.3,26.5,30,42,39.65,52.24,53.7,43.91,34.85,62.86,40.98,38.54,47.04,48.14,44.21,47.99,52.97,49.86,51.08,47.04,50.86,44.85,53.62,43.4,57.35,37.8,50.91,47.77,41.23,56.17,49.56,45.66,,,,50.67,54.3,52.25,57.25,38.18,55.59,51.57,50.7,48.92,66.89,49.57,50.44,41.36,52.54,54.86,51.16,48.71,51.2,49.72,60.78,55.84,60.6,56.52,42.62,41.61,66.1,37.37,42.89,43.72,48.4,45.42,49.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Feb 1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-May 1891 bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Nov 1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
