"DURRISDEER (DRUMLANRIG)",,,,,,,,,,,,
Grid ref,NX852992,Long,-3.808542,Lat,55.273527,,,,,,,
Station no,5031,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.57,6.54,1.62,5.42,4.30,4.37,7.20,6.37,2.46,4.26,,
February,3.53,1.03,1.51,3.78,1.50,1.04,3.64,3.25,1.69,6.15,,
March,3.66,3.27,0.56,3.34,2.57,2.67,3.56,1.07,3.33,2.02,,
April,2.80,2.58,2.22,1.22,2.22,1.26,2.41,1.34,3.82,4.54,,
May,2.33,3.56,2.66,5.70,3.18,2.32,2.90,3.66,1.04,2.27,,
June,1.60,2.96,1.63,4.02,2.66,3.46,1.51,4.61,3.08,2.52,,
July,2.14,5.02,5.88,4.26,2.37,5.62,2.98,4.98,4.86,3.22,,
August,8.37,3.07,2.88,4.08,1.65,6.85,3.54,5.38,0.75,3.99,,
September,5.04,1.93,5.80,7.18,4.15,4.75,3.69,6.13,1.56,3.83,,
October,0.83,5.11,4.42,11.08,3.64,2.99,5.01,3.94,6.25,3.55,,
November,11.00,2.80,6.80,10.00,2.45,1.66,2.78,2.53,8.27,7.92,,
December,8.65,4.75,5.63,6.02,6.68,5.90,4.50,5.14,8.31,4.77,,
Total,56.52,42.62,41.61,66.10,37.37,42.89,43.72,48.40,45.42,49.04,,
Calc annual,56.52,42.62,41.61,66.10,37.37,42.89,43.72,48.40,45.42,49.04,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
