"SCALFORD",,,,,,,,,,,,
Grid ref,SK764241,Long,-0.868026,Lat,52.809047,,,,,,,
Station no,2521/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.19,1.74,1.07,1.72,3.07,4.05,1.88,2.76,3.63,5.48,,
February,3.40,0.83,1.82,2.92,2.75,1.02,2.64,3.41,0.13,1.98,,
March,3.57,3.10,1.43,2.19,2.71,0.92,1.99,1.99,2.23,1.64,,
April,2.39,1.56,2.66,0.53,1.28,1.59,0.44,0.80,2.10,0.82,,
May,3.17,1.81,1.87,3.56,3.95,0.75,1.34,2.37,0.46,1.16,,
June,1.31,2.26,2.90,3.25,2.58,3.26,2.51,5.99,1.16,1.91,,
July,1.28,0.37,2.15,3.16,0.66,3.98,5.47,3.90,1.17,3.61,,
August,4.73,3.50,2.62,5.26,0.50,5.20,2.00,2.67,1.20,4.75,,
September,1.17,1.81,1.33,2.61,0.70,1.66,5.14,3.22,0.14,5.02,,
October,0.96,2.89,2.30,3.73,1.88,1.16,1.30,2.01,2.19,5.62,,
November,5.76,2.49,1.79,5.35,0.93,1.00,2.31,1.83,2.61,3.34,,
December,1.82,2.74,1.02,2.60,1.59,1.97,2.66,2.64,3.61,4.13,,
Total,32.75,25.10,22.96,36.88,22.60,26.56,29.68,33.59,20.63,39.46,,
Calc annual,32.75,25.10,22.96,36.88,22.60,26.56,29.68,33.59,20.63,39.46,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
