BENTLEY-THE-WELCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU791442,Long,-0.869462,Lat,51.191558,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,746/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.5,2.77,5.71,3.1,2.62,3.6,6.53,2.05,1.9,2.66,2.65,4.48,1.24,0.69,3.73,1.22,,,,,,,,
February,,,,,,,5.01,0.68,1.4,2.52,3.03,0.98,1.6,0.92,2.42,2.77,2,1.07,1.17,5.23,,1.27,,,,,,,,
March,,,,,,,4.13,0.13,1.43,2.83,4.66,1.99,0.55,0.27,0.86,1.06,7.03,0.78,1.77,1.7,,2.97,,,,,,,,
April,,,,,,,2.12,0.02,2.42,2.02,1.65,2.18,0.98,1.25,1.48,2.59,2.1,1.05,1.86,2.8,,1.65,,,,,,,,
May,,,,,,,4,1.42,1.34,0.85,2.21,3.33,2.96,0.56,1.56,3.29,1.28,2.96,3.54,1.58,3.02,1.95,,,,,,,,
June,,,,,,,1.3,0.45,1.86,0.68,1.86,0.28,1.35,2.27,2.01,2.67,1.77,1.92,0.74,0.98,1.02,1.87,,,,,,,,
July,,,,,,,0.81,2.58,3.41,2.43,2.7,1.92,2.05,1.78,3.9,,3.97,0.98,,4.34,2.5,0.63,,,,,,,,
August,,,,,,,1.44,0.8,1.49,0.01,4.53,2.62,1.78,1.23,1.07,4.58,0.45,4.19,,4.57,,3.18,,,,,,,,
September,,,,,,,1.93,1.15,0.5,1.7,0.08,1.39,1.18,2.19,2.33,4.64,1.21,1.98,1.31,2.26,2.89,3.94,,,,,,,,
October,,,,,,,3.75,3.21,4.9,4.2,0.6,3.4,4.4,4.18,3.88,1.04,0.82,2.01,7.48,0.37,1.01,3.98,,,,,,,,
November,,,,,,,2.42,4.55,5.9,7.28,2.79,2.08,1.87,4.56,0.45,6,0.95,1.31,3.55,5.22,8.49,3.68,,,,,,,,
December,,,,,,,4.75,5.02,1.47,1.31,1.7,4.08,1.74,2.68,4.22,3.26,3.72,3.87,1.47,1.85,2.56,2.35,,,,,,,,
Total,,,,,,,38.16,22.78,31.83,28.93,28.43,27.85,26.99,23.94,26.08,,27.95,26.6,,31.59,,28.69,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observations previously at CATON ESCOWBECK HOUSEStn No 3050/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marked on maps as Welche's House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 July Part estimated from maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Marked as estimated possibly due to snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 July Aug No gauge Gauge smashed by motor mower and of no further use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Feb-Apr Aug Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Not printed Low Too much estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Jan Informed observer moved to Briars Court Limpsfield Surrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
