"ACHARACLE (SHIEL BRIDGE)",,,,,,,,,,,,
Grid ref,NM677689,Long,-5.801551,Lat,56.753647,,,,,,,
Station no,5393,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,5.03,,,,,,,,,,,
May,0.95,,,,,,,,,,,
June,2.62,,,,,,,,,,,
July,6.53,,,,,,,,,,,
August,4.69,,,,,,,,,,,
September,5.32,,,,,,,,,,,
October,4.20,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,29.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
