REIGATE-WOODCOTE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ257509,Long,-0.2005582,Lat,51.243435,Elevation,310,ft.,,,,,,,,,,,,,
Station no,119,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.59,2.46,4.2,1.52,3.68,2.25,2.93,2.36,2.44,1.59,5.57,5.69,3.84,,
February,,,,,,,2.85,5.03,1.86,0.41,0.93,2.31,0.57,2.74,0.41,3.75,2.04,4.92,1.16,,
March,,,,,,,0.39,3.84,2.09,0.02,2.06,0.34,1.37,3.74,2.71,0.74,1.87,3.89,0.41,,
April,,,,,,,4.26,2.08,1.91,0.94,1.85,4.86,2.36,0.71,2.88,3.73,2.13,3.49,0.18,,
May,,,,,,,1.66,1.14,2.11,2.37,2.72,3.1,4.38,2.32,0.63,1.83,0.72,2.69,1.97,,
June,,,,,,,4.17,4.65,2.83,1.43,0.48,1.33,1.59,2.02,0.97,4.77,4.26,2.17,0.67,,
July,,,,,,,1.96,2.78,1.64,1.74,2.49,2.97,2.79,1.84,2.89,0.92,4.53,1.56,2.22,,
August,,,,,,,2.32,4.83,2.58,2.18,3.31,5.45,0.83,0.85,2.24,4.02,0.74,1.47,2.49,,
September,,,,,,,0.87,5.69,0.8,0.16,4.16,2.05,2.21,2.9,1.78,4.55,2.33,2.28,2.71,,
October,,,,,,,2.32,2.18,5.71,3.68,1.7,0.68,7,2.44,2.66,4.39,2.3,3.38,3.57,,
November,,,,,,,6.5,3.04,2.65,7.13,5.13,3.3,1.54,1.26,3.41,6.06,4.91,2.23,4.35,,
December,,,,,,,0.49,6.06,3.44,7.97,2.36,0.8,0.77,0.5,7.82,4.21,3.75,4.53,4.01,,
Total,,,,,,,31.38,43.78,31.82,29.55,30.87,29.44,28.34,23.68,30.84,40.56,35.15,38.3,27.58,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is on Wray Park Road, the location of Woodcote, at the stated altitude and relationships to church and station.",,,,,,,,,,,,,,,,,,,,,
