STAMFORDHAM CHURCH TOWER,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ076719,Long,-1.882607,Lat,55.041553,Elevation,456,ft,,,,,,,,,,,,
Station no,RR306,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,0.82,1.68,4.42,2.25,1.65,0.6,,,,,,,,,
February,,,,,,0.91,1.13,0.75,1.7,1.73,0.57,,,,,,,,,
March,,,,,,1.2,1.48,0.91,1.37,0.8,3.94,,,,,,,,,
April,,,,,,0.9,1.8,1.94,1.9,1.39,0.52,,,,,,,,,
May,,,,,,2.92,0.7,1.79,0.73,2.8,0.81,,,,,,,,,
June,,,,,,0.23,0.54,0.93,0.34,1.71,1.36,,,,,,,,,
July,,,,,,2.74,2.02,2.91,0.4,0.3,0.58,,,,,,,,,
August,,,,,,2.17,3.57,1.66,1.55,0.74,2.17,,,,,,,,,
September,,,,,,0.4,4.13,2.1,3.96,3.06,0.83,,,,,,,,,
October,,,,,,5.15,1.03,1.02,1.45,0.75,3.21,,,,,,,,,
November,,,,,,2.22,1.5,0.6,2.05,1.43,1.74,,,,,,,,,
December,,,,,,1.16,1.55,0.93,2.46,2,3.74,,,,,,,,,
Total,,,,,,20.82,21.13,19.96,20.16,18.36,20.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge 12' up on the church tower,,,,,,,,,,,,,,,,,,,,
