BURTON-ON-THE-WOLDS-BURTON-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK589209,Long,-1.128181,Lat,52.782475,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,1.1,1.8,0.81,3.25,3.88,1.34,1.71,2.19,2.42,0.74,3.06,0.81,0.87,0.95,1.55,0.79,4.05,3.57,1.23,2.04,1.28,2.27,2.29,3.78,2.46,2.34,2.69,0.98,2.07,1.99,2.22,2.06,4.52,1.3,3.12,1.37,1.3,1.44,2.36,,3.75,2.92,2.33,3.48,2.57,3.78,2.53,3.63,2.48,1.65,1.66,1.76,4.56,1.12,0.82
February,,,,,,,0.54,2.7,1.02,1.63,4.05,1,1.64,1,3.6,0.79,2.17,1.13,1.28,0.61,1.99,1.48,1.41,0.79,1.02,2.84,4.76,0.68,1.44,3.39,1.79,0.39,2.07,3.43,0.71,2.58,2.39,2.07,2.05,0.5,0.63,2.45,0.49,2.43,0.6,,1.84,3.09,0.79,0.95,2.85,2.24,0.68,0.48,2.73,1.77,3.33,1.66,1.24,0.5,2.57
March,,,,,,,2.19,2.08,1.17,0.84,0.74,2.2,1.35,3.32,1.84,2.38,1.36,1.2,2.47,3.07,0.57,1.52,2.58,3.71,2.22,0.98,4.66,1.46,0.84,3.87,2.22,0.73,1.63,1.2,0.65,0.81,0.88,2.04,1.66,0.1,2.14,0.26,1.84,2.55,1.98,,1.53,2.66,0.21,2.04,1.94,2.73,1.57,1.29,0.67,0.58,0.82,3.77,0.58,1.34,0.74
April,,,,,,,0.81,2.27,2.01,2.56,0.84,1.27,1.94,1.26,1.22,1.24,0.75,2.09,2.55,0.88,1.61,0.73,0.14,2.32,1.14,0.79,1.19,1.19,1.83,1.6,4.52,1,3.3,1.75,1.56,1.5,1.92,2.19,0.73,1,2.9,3.24,2.69,1.13,2.84,,1.84,2.51,0.13,1.9,1.73,1.47,1.24,1.14,2.03,1.55,1.62,1.92,1.45,2,1.57
May,,,,,,,0.56,1.07,2.49,3.5,1.91,1,2.19,3.19,1.78,0.35,1.74,3.1,2.51,0.98,2.34,1.03,1.74,1.75,1.96,1.57,2.54,2.19,1.38,1.46,1.68,1.57,1.3,2.22,4,3.4,3.23,0.87,1.85,1.3,3.2,2.68,6.01,1.88,0.85,,0.77,2.6,2.09,1.16,1.11,2.41,3.79,2.26,0.7,2.04,1.64,1.27,2.53,1.79,1.87
June,,,,,,,2.19,2.65,1.45,0.94,3.93,0.98,2.32,2.09,0.64,1.84,2.65,2.05,0.84,3.11,1.09,1.82,3.81,0.93,2.18,1.61,1.95,3.61,0.39,0.8,1.63,0.38,1,0.38,2.34,0.08,2.95,5.48,3.33,0.6,1.52,2.94,0.75,1.63,0.55,,2.33,0.62,1.47,1.12,1.27,1.4,0.86,1.78,1.5,2.2,2.8,1.53,2.03,0.51,1.07
July,,,,,,,2.69,0.55,1.08,2.87,2.05,3.51,1.25,1.9,2.25,2.34,0.58,2.43,2.38,2.96,2.35,0.08,3.73,0.68,3.21,7.16,1.7,1.77,2.35,3.87,4.3,0.27,4.79,5.33,2.25,2.16,2.12,2.66,1.26,1.7,4.87,3.5,5.31,1.61,1.4,,5.41,4.57,3,4.95,4.02,4.62,2.76,1.14,2.15,2.76,1.62,2.47,1.13,2.69,2.47
August,,,,,,,1.95,2.59,3.34,0.41,4.1,1.54,3.97,4.74,2.61,2.84,0.71,2.16,2.45,2.66,3.47,2.89,5.9,1.68,1.66,2.02,2.67,5.5,1.78,2.91,0.95,5.22,5.59,1.75,2.01,1.6,2.25,3,2.58,2.3,1.96,4.81,2.35,0.57,1.86,,0.8,0.26,2.83,3.06,0.23,4.61,1.95,1.79,1.87,1.86,4.76,0.18,3.62,1.41,3.69
September,,,,,,,4.22,2.83,0.44,3.2,0.36,0.86,0.93,2.76,1.88,2.11,0.91,0.86,1.93,3.3,0.99,1.27,0.83,1.72,0.61,1.07,0.9,1.63,4.63,2.02,1.35,0.98,1.83,2.56,2.39,2.67,0.8,3.97,0.74,0.5,3.84,2.31,1.85,1.9,1.48,,3.05,1.62,1.65,1.1,0.63,0.52,0.86,1.74,3.63,1.12,3.2,1.11,2.64,1.26,2.18
October,,,,,,,3.28,1.2,3.36,2.52,2.36,1.13,2.51,5.19,0.98,0.85,4.55,3.84,1.18,2.82,2.26,2.45,2.67,3.7,1.9,1.13,2.22,2.96,1.31,2.05,1.29,2.42,0.52,2.11,4.15,2.98,2.82,2.41,4.19,3.1,2.71,0.64,3.12,3.19,1.49,,1.38,3.02,2.29,2.76,3.7,1.94,2.49,2.11,2.91,3.23,1.37,0.35,2.24,4.11,1.89
