WORSTEAD LYNGATE COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG312265,Long,1.427192,Lat,52.786517,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.41,0.7,2.74,2.33,0.98,2.64,1.57,4.61,1.32,2.36,1.2,2.2,2.98,0.79,1.31,1.69,1.42,1.1,4.09,1.85,1.09,0.89,2.97,1.89,2.48,2.84,2.57,3.46,1.54,1.8,2.36,2.68,1.81,1.86,4.79,1.82,2.3,1.29,2.74,2.19,3.23,1.67,1.14,2.2,0.89,0.76,1.17,3,2.56,3.46,2.51,4.63,1.68,2.07,3.7,3.92,2.89,2.31,1.49,1.72,4.25,1.01,1.62,3.33,2.1,1.47,2.01,1.95,3.54,2.05,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.08,1.57,0.72,0.07,2.01,2.07,1.16,0.98,0.48,2.39,1.34,1.38,3.14,1.99,1.1,0.56,3.07,1.65,2.6,1.78,1.89,0.7,2.19,1.83,1.62,0.67,1.52,2.53,3.81,1.02,1.21,2.62,0.79,0.41,2.67,2.96,1.79,2.02,2.04,2.2,1.45,0.84,1.33,2.13,0.88,2.1,0.58,1.68,2.54,2.8,0.68,1.01,1.43,2.27,1.29,0.59,1.8,1.41,4.71,1.93,0.98,0.69,3.49,3.4,1.36,1.77,2.48,3.01,2.11,2.45,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.25,1.15,3.02,1.46,1.29,0.62,0.99,2.39,3.31,2.3,2.06,1.59,1.26,2.37,1.49,1.86,1.93,1.97,1.79,1.5,2.71,2.9,0.7,2.06,3.05,2.29,3.21,2.13,2.96,2.69,0.63,1.91,1.08,1.01,1.69,1.62,1.02,1.8,0.31,1.99,1.18,0.1,1.5,0.75,1.85,1.87,1.22,0.5,0.41,2.52,0.38,2.19,3.3,3.08,1.89,0.37,0.77,1.78,0.83,4.81,0.67,1,0.37,3.05,2.52,1.6,2.42,1.49,0.92,2.22,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.52,2.3,1.09,1.12,1.87,0.12,1.87,1.03,1.4,1.7,1.47,2.73,0.8,2.01,1.43,2.16,0.85,2.52,0.48,2.81,2.97,1.29,2.26,1.13,0.36,1.96,0.67,0.99,1.85,2.29,2.68,1.81,2.99,1.28,2.7,0.93,1.59,1.79,2.81,2.2,1.64,1.28,1.42,2.91,2.23,1.05,1.93,1.97,1.22,2.49,0.7,2.61,1.52,1.06,0.83,0.54,2.26,3,0.7,2.15,1.36,2.29,1.98,3.76,1.51,2.01,0.6,0.49,1.12,0.81,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.96,2.99,1.05,2.77,1.78,1.19,2.51,1.3,0.62,1.2,2.63,2.19,1.27,0.97,3.55,1.89,1.75,1.31,3.29,2.86,1.59,1.19,2.63,1.2,0.84,1.2,1.3,2.08,2.23,0.49,0.8,1.18,1.35,1.02,0.45,1.5,3.47,2.04,1.1,0.69,1.55,0.94,2.83,4,3.91,1.93,1.84,1.16,1.31,1.98,2.03,0.99,0.48,2.92,3.11,1.98,1.26,1.9,1.7,0.62,4.41,2.42,2.24,2.09,0.79,1.06,1.6,2.51,0.52,1.79,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.05,1.8,3.27,1.79,3.67,2.56,2.28,0.59,1.89,2.91,2.73,0.94,2.75,1.91,2.36,1.89,0.7,3.79,2.43,2.61,1.07,2.48,2.09,3.01,3.29,1.12,2.16,0.66,3.66,1.88,1.2,1.25,1.62,0.36,1.29,0.93,1.64,0.86,3.29,4.55,2.29,0.73,0.69,1.38,0.25,1.79,1.51,3.12,2.84,1.12,0.94,1.87,0.39,0.98,2.2,1.71,1.24,2.01,2.37,0.98,3.71,1.25,2.65,1.02,1.21,2.78,3.07,2.61,2.75,2.17,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,4.95,2.82,4.49,4.39,2.51,3.31,3.4,4.06,0.99,0.76,1.47,2.29,1.59,0.89,2.52,4.24,2.37,1.17,0.41,0.98,2.63,3.34,4.36,0.41,3.58,2.43,3.64,4.84,0.94,2.78,4.01,3.06,3.17,0.53,5.35,2.39,2.51,1.76,1.76,2.58,1.55,3.37,4.79,2.69,3.63,0.86,1.04,0.76,4.02,2.47,1.76,1.11,3.43,1.83,4.27,0.9,2.1,1.59,4.24,1.42,2.02,1.54,5.25,1.99,1.65,1.45,3.04,0.24,2.4,4.34,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.67,4.22,2.2,3.47,2.68,1.9,2.83,4.81,1.53,1.79,2.33,1.04,3.93,0.9,3.03,3.04,2.49,2.25,2.35,1.51,2.89,1.96,1.58,0.68,9.86,1.13,1.17,3.35,3.13,3.96,2.32,1.67,2.31,2,1.19,2.43,2.28,2.34,2.47,3.31,1.44,1.66,2.83,2.72,1.38,0.87,1.76,1.65,2,0.88,1.28,2.19,1.04,3.49,1.06,1.77,1.4,3.01,4.19,0.34,3.73,1.88,1.8,3.21,1.69,2.55,6.78,0.79,2.83,3.57,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.42,3.33,1.11,1.12,2.01,1.08,2.06,0.38,3.81,4.37,0.14,4.69,0.59,0.73,1.16,3,1.96,2.69,1.23,0.55,2.71,1.78,1.22,2.18,2.64,1.87,1.44,1.38,1.57,1.6,4.25,1.1,2.95,1,2.66,1.51,2.95,3.85,1.27,3.57,0.78,0.7,5.73,2.15,2.4,2.3,1.92,3.37,2.85,2.18,1.62,1.18,1.3,0.33,1.99,2.96,4.16,1.28,3.57,0.95,1.83,1.26,5.24,2.18,4.49,1.93,1.99,2.12,1.05,5.15,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.36,3.04,2.92,3.82,7.88,1.47,3.26,3.46,3.49,0.81,2.65,2.26,2.32,2.44,1.96,5.39,1.29,5.43,3.46,4.22,1.3,5.22,1.96,2.5,2.31,4.93,2.09,2.08,2.35,3.58,2.53,3.58,0.74,1.92,1.33,3.2,3.99,1.72,2.99,2.5,2.59,3.3,0.94,1.35,4.63,3.16,1.65,2.65,2.36,1.43,3.29,6.84,2.45,3.63,2.69,1.71,3.92,2.93,2,0.25,1.59,3.91,1.16,0.82,2.66,3.19,2.45,5.41,4.04,1.59,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.58,1.4,4.12,1.86,1.29,3.54,3.08,2.63,1.39,1.9,3.11,2.28,2.38,3.02,1.44,2.05,2.08,2.71,4.67,2.78,1.95,1.62,4.72,3.05,3.43,2.16,2.79,3.71,2.55,2.28,1.57,2.67,0.7,2.47,1.82,4.29,1.72,4.21,3.24,4.69,2.66,2.88,3.55,1.87,1.48,2.46,1.38,3.19,3.04,2.94,1.81,4.29,5.97,2.56,3.23,4.07,6.52,1.51,4.29,1.94,0.97,3.37,4.69,3.99,4.63,1.71,4.26,0.75,2.07,2.82,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,1.26,1.49,0.73,2.97,1.14,2.02,2.89,1.95,3.17,1.65,2.29,2.13,3.6,4.29,1.87,1.43,2.46,1.16,4.36,2.57,1.46,5.42,4.11,3.71,2.08,0.71,6.46,3.77,3.25,1,3.63,5.08,2.83,2.51,1.85,3.84,2.32,3.23,1.18,2.36,3.02,3.43,1.67,1.75,0.68,0.78,3.01,1.82,1.77,4.22,3.84,2.59,2.84,1,2.48,1.66,2.13,2.62,3.27,2.14,1.32,1.39,3.94,1.36,2.78,1.35,1.87,1.5,1.66,1.51,,,,,,,,,,,,,,,,,,,,,,,
