"WORSTEAD (LYNGATE COTTAGE)",,,,,,,,,,,,
Grid ref,TG312265,Long,1.427192,Lat,52.786517,,,,,,,
Station no,1434,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.33,2.10,1.47,2.01,1.95,3.54,2.05,,,,,
February,3.40,1.36,1.77,2.48,3.01,2.11,2.45,,,,,
March,3.05,2.52,1.60,2.42,1.49,0.92,2.22,,,,,
April,3.76,1.51,2.01,0.60,0.49,1.12,0.81,,,,,
May,2.09,0.79,1.06,1.60,2.51,0.52,1.79,,,,,
June,1.02,1.21,2.78,3.07,2.61,2.75,2.17,,,,,
July,1.99,1.65,1.45,3.04,0.24,2.40,4.34,,,,,
August,3.21,1.69,2.55,6.78,0.79,2.83,3.57,,,,,
September,2.18,4.49,1.93,1.99,2.12,1.05,5.15,,,,,
October,0.82,2.66,3.19,2.45,5.41,4.04,1.59,,,,,
November,3.99,4.63,1.71,4.26,0.75,2.07,2.82,,,,,
December,1.36,2.78,1.35,1.87,1.50,1.66,1.51,,,,,
Total,30.20,27.39,22.87,32.57,22.87,25.01,30.47,,,,,
Calc annual,30.20,27.39,22.87,32.57,22.87,25.01,30.47,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
