EPSOM-COLLEGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ223601,Long,-0.24601,Lat,51.327,Elevation,290,ft,,,,,,,,,,,,
Station no,134,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.14,2.64,,1.54,2.4,3.52,1.57,,,,
February,,,,,,,,,,2.04,0.83,0.02,1.46,3.61,1.7,0.21,,,,
March,,,,,,,,,,2.49,2.08,1.86,1.41,0.56,1.28,1.71,,,,
April,,,,,,,,,,2.19,1.92,0.72,0.62,0.17,2.85,1.81,,,,
May,,,,,,,,,,3.61,1.5,3.54,1.67,0.96,1.66,0.49,,,,
June,,,,,,,,,,1.03,3.24,1.47,2.29,0.96,2.32,0.32,,,,
July,,,,,,,,,,2.35,4.67,,1.39,2.02,3.68,,,,,
August,,,,,,,,,,1.6,3.99,7.9,1.95,0.33,2.29,,,,,
September,,,,,,,,,,1.23,0.89,2.89,1.27,1.82,1.94,0.72,,,,
October,,,,,,,,,,4.81,1.42,6.19,3.23,3.9,5.29,,,,,
November,,,,,,,,,,0.84,2,2.91,2,2.2,4.1,,,,,
December,,,,,,,,,,1.31,0.28,,1.37,2.31,1.89,,,,,
Total,,,,,,,,,,24.64,25.46,,20.2,21.24,32.52,,,,,
,,,,,,,,,,,,,,,,,,,,
No information to locate gauge except elevation which is same as later run so that NGR used,,,,,,,,,,,,,,,,,,,,
