"EPSOM COLLEGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,134,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,1.44,2.85,
February,,,,,,,,,,0.52,1.15,
March,,,,,,,,,,0.05,1.86,
April,,,,,,,,,,1.42,1.48,
May,,,,,,,,,,1.55,2.26,
June,,,,,,,,,,1.16,0.78,
July,,,,,,,,,,1.37,2.29,
August,,,,,,,,,,1.75,3.72,
September,,,,,,,,,,0.12,3.52,
October,,,,,,,,,,3.59,1.20,
November,,,,,,,,,,5.79,4.49,
December,,,,,,,,,,6.77,2.25,
Total,,,,,,,,,,25.53,27.85,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.53,27.85,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,
