OLD DEER MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 97624 47902,Long,-2.041328,Lat,57.521283,Elevation,146,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.19,1.1,3.25,,6.6,2.7,3.23,1.65,1.75,3.25,1.67,1.25,2.48,1.3,2.75,2.1,,,,1.5,1.52,3.08,1.58,,,,
February,,,,0.5,3.47,3.23,2.9,1.5,2.07,1.5,2.25,3.88,3.18,1.18,1.75,0.95,5,2.88,0.75,,,,0.81,3.23,1.32,2.26,,,,
March,,,,2.96,2.37,2.55,2.5,1.85,1.6,2,0.98,0.58,2.55,2.05,2.02,1.58,4.5,3.04,2.95,,,,2.02,2.65,3.74,2,,,,
April,,,,2.06,1.52,0.7,,4.2,2.13,2,2.05,3.25,3.15,1.25,1.15,1.75,3.13,3.75,0.71,,,,2.89,1.55,1.55,2,,,,
May,,,,1.57,2,1.1,1.25,1.38,1.5,1.9,1.8,0.95,4.62,2.18,1.5,1.63,0.9,2.91,2.2,,,,1.2,1.55,1.15,3.85,,,,
June,,,,1.87,1.87,0.75,,1.3,1.18,1.82,1.03,1.1,4.78,1.22,1.22,2.23,1.5,3.9,1.9,,,,3.65,1.26,1.31,0.8,,,,
July,,,,0.9,3,3.65,2.8,2.75,0.6,0.75,0.95,2.55,1.78,3.28,1.9,3.35,2.52,3.31,1.2,,,,2.18,3.88,2.43,1.48,,,,
August,,,,4.37,2.15,2.5,2.91,2.2,4.1,1.43,1.5,2.38,2.85,5,4.35,2.75,2.31,6.1,4.7,,,,2.15,2.9,2.4,2.8,,,,
September,,,,2.56,2.52,0.75,,2.8,5,6.18,2.49,2.37,6.28,5.2,1.53,5.6,3.35,1.42,3.05,,,,2.1,4.08,1.48,3.15,,,,
October,,,,3.37,3.68,3.9,2,2.75,2.75,6.15,3.3,3.9,5.6,3.42,3.3,5.33,3.35,2.2,3.2,,,,3.83,3.02,4.02,3.36,,,,
November,,,,1.87,7,3.05,3.75,1,2.1,3.18,4.1,3.12,4.6,3.46,4.01,4.62,4.8,5.03,5.1,,,,5.43,2.37,4.03,2.1,,,,
December,,,,3.55,3.25,1.33,3.25,3.25,3.75,1.9,3.1,1.75,3.33,1.5,3.37,2.51,8.51,3.05,6.29,,,,5.83,2.5,1.08,2.31,,,,
Total,,,,28.77,,26.76,,31.58,29.48,32.04,25.2,27.58,45.97,31.41,27.35,34.78,41.17,40.34,34.15,,,,33.59,30.51,27.59,27.69,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
