"SHEFFIELD (NORTON LEES)",,,,,,,,,,,,
Grid ref,SK349838,Long,-1.477189,Lat,53.349944,,,,,,,
Station no,3111/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,5.36,1.66,,3.18,5.22,,
February,,,,,,1.15,2.88,,0.09,2.96,,
March,,,,,,0.98,2.07,,1.74,2.05,,
April,,,,,,2.51,0.07,0.73,3.37,1.46,,
May,,,,,,0.51,0.93,2.54,1.01,1.92,,
June,,,,,,3.20,1.39,5.43,0.93,1.02,,
July,,,,,,5.54,3.34,5.10,1.35,2.93,,
August,,,,,,5.41,4.46,3.65,0.88,3.50,,
September,,,,,,3.12,3.81,3.25,0.04,4.25,,
October,,,,,,1.36,1.70,2.17,2.34,6.79,,
November,,,,,,0.75,2.31,0.69,4.02,4.99,,
December,,,,,,3.93,3.23,4.52,4.72,3.46,,
Total,,,,,,33.82,27.85,,23.67,40.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,33.82,27.85,28.08,23.67,40.55,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,0.00,-0.00,,
