PENTLAND HILLS (GLENCORSE FILTERS),,,,,,,,,,
Grid ref,NT225631,Long,-3.239563,Lat,55.854842,Elevation,638,ft,,
Station no,5121,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,7,4.45,4.35,2,3.1,2.95,2.75,4.5
February,,,5.4,2.3,2.6,2.6,2.85,1.5,1.1,2.65
March,,,0.97,0.76,1.9,1.8,0.1,2.25,1.55,5.15
April,,,0.35,2.5,0.95,1.15,3.55,2.45,1.25,3.8
May,,,2.67,1.1,3.8,2.25,3.75,2.1,1.9,0.1
June,,,2.75,5.15,5.8,2.8,5,5.15,1.65,2
July,,,2.35,4,2.4,3.85,2.4,1.3,4.5,3.15
August,,,5.35,3.35,2.3,4.3,4.9,2.1,2.1,1.4
September,,,3.5,2.7,1.45,0.75,7.45,6.2,2.7,2.25
October,,,4.6,5.65,2.75,4,1.35,2.05,5.1,3.95
November,,,3.9,1.7,4.4,1.85,1.5,3.65,1.5,3.6
December,,,9.8,2.55,4.4,1.7,5.05,3.2,2.65,2.5
Total,,,48.64,36.21,37.1,29.05,41,34.9,28.75,35.05
