PENTLAND HILLS (GLENCORSE FILTERS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT225631,Long,-3.239563,Lat,55.854842,Elevation,638,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.28,2.54,2.93,2.06,4.79,2.78,2.69,3.39,4.08,6.28,2.47,2.2,3.14,3.94,3.97,2.92,6.09,1.3,4.07,2.17,4.66,3.88,3.78,1.23,4.22,3.39,4.99,5.34,1.11,2.05,4.31,3.23,3.51,3.61,3.23,3.23,6.58,3.3,1.86,4.19,3.36,0.56,3.54,2.29,1.89,4.32,1.83,1.3,3.26
February,,,,,,,2.68,2.11,2.67,3.02,5.44,0.7,4.28,2.06,3.73,1.07,2.68,2.83,0.79,5.85,3.07,1.24,2.72,0.99,0.54,2.43,0.34,2,0.12,2.81,3.85,4.54,1.17,2.62,1.28,3.64,1.32,2.39,1.23,4.04,1.8,1.49,3.09,2.42,4.22,2.91,0.62,1.05,2.15,1.72,2.06,2.76,2.32,0.71,2.61
March,,,,,,,3.39,5.23,4.11,1.93,3.64,1.93,1.01,2.66,3.03,3.46,2.1,1.39,1.01,2.43,2.26,2.8,1.96,0.24,2.64,1.08,3.08,1.18,3.7,1.25,2.52,2.27,1.18,3.76,3.81,3.23,1.6,2.02,0.49,1.89,2.61,4.71,1.75,1.05,3.07,3.46,1.5,0.66,1.93,2.03,1.38,1.93,1.81,0.81,1.51
April,,,,,,,0.38,2.8,2.01,2.08,4.9,3.32,0.89,4.31,3.58,0.73,1.91,2.42,1.69,4.63,1.81,1.75,1.17,1.85,1.19,2.4,3.7,2.59,4.8,3.79,1.75,1.37,0.25,1.82,2.78,2.38,1.64,1.35,2.7,1.78,0.9,4.79,2.44,2.2,3.23,3.61,2.07,2.99,1.34,0.94,0.84,1.03,2.14,2.16,1.17
May,,,,,,,1.87,2.03,2.79,1.77,5.08,1.82,2.92,0.93,3.37,1.83,1.59,3.36,5.38,4.94,3.39,1.51,1.72,1.7,1.35,3.06,3.6,1.96,1.85,0.94,1.05,3.14,4.07,1.06,1.86,3.91,2.07,4.04,3.46,4.64,1.93,3.05,2.1,2.45,2.23,3.18,1.8,1.9,4.96,2.72,1.28,1.63,2.36,0.68,1.11
June,,,,,,,5.79,2.14,1.65,1.59,3.38,2.28,0.89,2.01,1.42,0.36,1.67,1.51,2.55,0.55,3.88,3.36,5.22,2.41,1.99,4.73,1.29,2.2,3.25,2.18,1.85,1.44,5.22,1.83,1.01,0.99,1.38,2.16,3.18,2.03,2.18,2.75,4.75,1.23,1.71,1.98,2.69,1.78,3.07,0.91,2.73,1.88,3.49,1.8,1.39
July,,,,,,,2.69,0.52,3.44,4.3,5.37,2.2,3.84,1.21,3.9,3.03,4.2,3.88,4.25,1.66,2.96,2.81,2.34,3.41,4.83,3.5,2.63,3.98,2.57,0.81,5.17,4.77,3.64,2.54,7.25,3.54,3.47,3.63,2.74,3.01,4.19,3.09,2.45,2.6,3.08,3.55,2.17,4.21,2.33,2.12,5.1,5.87,6.44,3.29,2.71
August,,,,,,,5.43,1.89,2.15,4.39,5.24,5.53,1.75,2.05,6.88,5.27,1.99,4.75,3.67,2.8,2.13,7.07,4.99,4.86,5.7,5.42,0.55,0.93,3.59,2.78,1.66,3.76,1.88,1.47,0.79,4.21,2.86,4.69,3.04,4.12,4.57,0.05,10.76,2.82,4.07,5.74,3.75,1.78,6.18,1.29,7.79,4.39,3.09,0.46,3.77
September,,,,,,,3.86,2.56,0.85,2.6,1.94,1.98,5.44,3.67,1.57,2.18,1.95,2.85,3.55,4.39,3.47,9.9,2.75,0.37,5.16,2.06,3.33,2.48,2.26,3.82,3.58,2.64,3.27,1.75,2.97,0.81,3.99,2.03,6.39,4.12,4.57,2.07,3.5,1.97,6.62,1.47,2.73,2.82,3.74,1.67,4.03,1.79,3.28,0.6,1.65
October,,,,,,,4.06,2.8,1.67,2.4,6.11,3.94,4.5,3.17,1.11,4.81,2.28,3.14,3.33,2.12,4.02,3.75,3.45,3.28,3.64,2.49,6.5,2.38,4.47,7.25,3.03,4.49,6.46,3.11,2.95,4.06,4.04,4.39,3.15,4.63,0.86,1.23,1.67,5.52,3.36,0.7,1.86,1.55,6.55,1.87,1.94,2.7,1.49,2.44,2.95
November,,,,,,,2.77,3.05,4.62,1.91,4.64,3.25,2.22,6.25,2.84,1.38,1.97,3.87,1.31,0.67,3.68,2.69,3.77,4.65,4.89,4.71,2.73,1.5,2.48,5.06,3.59,0.4,5.8,5.58,5.32,2.62,1.07,1.36,7.6,0.51,4.82,4.62,2.97,3.74,5.09,5.54,2.87,4.36,3.6,0.9,0.86,1.84,1.2,5.48,3.3
December,,,,,,,6.12,2.49,5.09,5.92,3.99,2.56,2.65,4.01,2.57,4.86,3.71,3.33,3.54,3.48,0.9,2.32,2.77,4.98,1.66,1.67,6.6,1.03,3.53,1.56,2.49,3.47,2.22,1.59,3.23,1.78,2.3,1.42,3.44,2.11,3.61,2.87,3.46,6.42,1.79,3.16,4.61,3.61,4.33,5.29,3.09,3.29,4.75,3.24,3.46
Total,43.57,42.52,34.29,43.37,,,41.32,30.16,33.98,33.97,54.52,32.29,33.08,35.72,38.08,35.26,28.52,35.53,34.21,37.46,35.54,42.12,38.95,30.04,37.66,35.72,39.01,26.11,36.4,33.48,34.76,35.68,40.15,32.47,34.36,33.22,30.05,32.71,40.93,36.49,35.27,33.95,45.52,35.72,40.33,39.49,30.03,27.27,43.72,23.75,32.99,33.43,34.2,22.97,28.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_30_pt1-page-024 discarded as just different diameter gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
