"BROMSGROVE BARNT GREEN",,,,,,,,,,,,
Grid ref,SP010734,Long,-1.986740,Lat,52.358659,,,,,,,
Station no,2408,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.51,0.84,2.29,3.42,1.28,4.35,,,,,
February,,1.70,1.74,1.70,4.13,0.95,2.49,,,,,
March,,1.61,2.04,5.16,1.81,4.17,1.54,,,,,
April,,2.69,2.79,2.01,1.36,2.74,1.67,,,,,
May,,1.22,3.38,3.87,3.54,0.40,2.65,,,,,
June,,2.39,2.79,2.33,0.58,2.47,3.33,,,,,
July,,1.82,1.41,2.84,4.23,2.18,1.27,,,,,
August,,2.16,4.94,4.83,2.12,5.89,1.29,,,,,
September,,1.60,1.70,3.70,2.40,1.45,1.48,,,,,
October,,1.31,2.64,7.96,0.96,1.19,5.89,,,,,
November,,1.16,2.74,2.12,1.74,2.84,2.63,,,,,
December,,5.09,2.15,1.90,2.42,0.74,2.54,,,,,
Total,,24.26,29.16,40.71,28.71,26.30,31.13,,,,,
Calc annual,0.00,24.26,29.16,40.71,28.71,26.30,31.13,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
