"DONAGHADEE",,,,,,,,,,,,
Grid ref,IJ583802,Long,-5.548195,Lat,54.645241,,,,,,,
Station no,6202/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.81,3.45,0.98,3.20,3.34,2.43,3.50,3.98,2.08,3.18,,
February,2.64,0.49,0.85,3.30,2.69,0.68,1.81,3.54,0.75,2.49,,
March,3.00,1.20,0.26,3.62,1.35,1.19,2.90,1.56,2.58,1.93,,
April,1.36,1.58,1.56,0.59,1.65,0.62,0.97,1.04,1.81,2.62,,
May,3.01,1.23,1.69,2.29,2.10,0.93,1.38,2.91,0.92,1.86,,
June,1.24,1.63,1.16,2.09,3.73,2.35,0.69,4.08,2.54,1.97,,
July,2.52,1.66,4.17,2.88,1.30,3.37,3.03,4.03,2.28,5.51,,
August,3.92,5.38,2.86,2.55,1.63,5.57,2.99,3.79,1.42,4.45,,
September,2.02,1.74,2.71,2.99,2.75,3.22,4.03,4.31,1.68,3.27,,
October,0.23,3.94,1.98,5.20,2.14,1.93,3.38,2.35,3.32,5.07,,
November,5.54,2.96,3.54,5.04,2.35,1.20,1.31,1.54,2.72,5.24,,
December,4.30,3.81,2.96,3.92,4.07,2.50,3.98,6.31,4.63,2.25,,
Total,33.59,29.07,24.72,37.67,29.10,25.99,29.97,39.44,26.73,39.84,,
Calc annual,33.59,29.07,24.72,37.67,29.10,25.99,29.97,39.44,26.73,39.84,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
