BUNGAY (BROOME RECTORY),,,,,,,,,,,,
Grid ref,TM349924,Long,1.457719,Lat,52.478934,,,,,,,
Station no,1402/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.49,3.91,,
February,,,,,,,,,0.23,1.45,,
March,,,,,,,,,0.79,0.82,,
April,,,,,,,,,1.55,0.96,,
May,,,,,,,,,0.31,0.33,,
June,,,,,,,,,0.34,0.85,,
July,,,,,,,,,1.07,2.30,,
August,,,,,,,,,1.87,3.66,,
September,,,,,,,,1.96,0.17,3.70,,
October,,,,,,,,1.85,2.43,5.88,,
November,,,,,,,,1.18,2.71,3.59,,
December,,,,,,,,2.93,2.92,3.19,,
Total,,,,,,,,,16.88,30.64,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.92,16.88,30.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
