HEXHAM BEAUFRONT CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY963659,Long,-2.059354,Lat,54.987678,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.82,2.64,2.08,,3.05,1.78,2.11,2.36,2.42,2.59,3.06,2.81,5.87,2.18,1.2,2.3,2.53,2.36,1.77,2.21,1.8,2.97,1.36,1.46,1.47,2.19,,,,,,
February,,,,,,,,,,2.64,2.78,1.76,,1.03,1.75,2.02,3.94,1.21,2.13,1.57,1.99,0.26,2.3,3.16,0.85,3.88,2.68,0.48,2.34,0.62,1.71,2.31,0.55,3.22,0.39,,,,,,
March,,,,,,,,,,3.44,0.42,2.88,,3.58,2.45,1.5,3.32,1.45,1.02,2.2,2.95,1.59,2.09,1.27,1.02,1.69,1.39,2.3,2.07,0,1.75,1.15,1.88,0.96,4.26,,,,,,
April,,,,,,,,,,2.37,2.37,1.42,,2.36,1.08,0.52,1.54,2.24,1.24,1.46,3.22,0.79,2.39,1.89,1.67,3.2,1.08,2.04,0.24,1.46,1.96,3.18,1.9,1.06,4.13,,,,,,
May,,,,,,,,,,1.35,2.21,0.79,,1.72,1.21,2.12,3.37,2.9,2.12,1.02,4.25,1.16,0.81,2.31,5.59,3.15,2.02,1.67,1.62,0.96,1.08,2.77,2.05,1.5,1.14,,,,,,
June,,,,,,,,,,2.4,1.32,4.49,,1.7,2.79,0.71,2.23,2.34,0.77,1.03,1.63,0.51,1.68,1.19,1.91,0.28,5.04,3.68,4.12,1.32,0.84,4.84,1.01,2.38,3.18,,,,,,
July,,,,,,,,,,2.6,3.66,0.87,,1.86,2.27,3.46,2.83,0.93,3.45,2.46,3.43,1.28,4.73,2.27,4.89,1.67,3.78,4.94,1.74,3.01,5.15,3.68,3.34,1.66,3.84,,,,,,
August,,,,,,,,,,2.45,3.6,1.95,,1.5,2.27,3.65,3.45,6.48,2.48,2.56,1.61,5.87,1.81,5.7,4.28,3.89,2.55,6.8,3.85,3.02,4.21,4.29,2.43,1.47,2.92,,,,,,
September,,,,,,,,,,1.79,0.5,3.24,,3.57,1.52,1.73,1.31,2.08,5.51,1.23,1.78,2.02,4.13,1.75,2.9,3.67,2.7,4.83,1.12,1.26,1.85,0.78,2.87,1.33,1.6,,,,,,
October,,,,,,,,,,2.15,2.81,2.65,,3.35,2.06,0.81,4.02,2.57,2.86,4.03,1.99,1.96,1,2.53,3.97,2.04,3.29,1.8,3.4,2.11,1.96,1.05,4.84,3.62,4.12,,,,,,
November,,,,,,,,,,0.74,2.47,3.33,,1.84,3.97,1.26,3.36,1.79,1.16,3.79,1.36,2.25,0.58,4.9,0.9,1.96,2.58,2.78,3.06,2.33,2.96,2.19,1.46,2.84,5.31,,,,,,
December,,,,,,,,,,3.43,1.58,2.74,,1.6,5.23,4.63,2.94,2.3,2.65,2.59,3.91,2.88,4.42,2.74,2.85,4.38,0.48,2.69,1.36,3.77,2.19,1.27,0.92,0.89,3.47,,,,,,
Total,,,,,,,,,,27.18,26.36,28.2,,27.16,28.38,24.52,34.67,28.71,27.98,27,30.93,26.44,28.12,30.91,33.13,32.34,29.95,35.78,27.13,21.66,28.63,28.87,24.71,22.4,36.55,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 total miscalculated on original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
