"HARDHAM (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ033176,Long,-0.530859,Lat,50.948590,,,,,,,
Station no,451/8/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.48,5.08,4.07,4.86,3.81,3.69,,
February,,,,,2.25,0.27,5.73,3.14,0.04,3.83,,
March,,,,,1.45,0.54,1.98,2.91,2.75,2.19,,
April,,,,,0.29,1.52,0.14,0.78,3.38,1.14,,
May,,,,,4.55,0.44,1.19,3.12,0.73,1.49,,
June,,,,,2.70,2.46,2.30,3.81,1.06,2.39,,
July,,,,,0.32,4.89,5.09,2.06,0.79,4.04,,
August,,,,,1.47,4.09,3.80,2.80,2.04,4.27,,
September,,,,,2.39,5.14,4.15,4.70,0.07,4.84,,
October,,,,,3.82,1.58,2.10,3.76,3.44,8.05,,
November,,,,,2.20,0.71,2.70,2.27,4.71,7.88,,
December,,,,,4.39,6.62,2.86,5.15,9.31,4.62,,
Total,,,,,30.31,33.34,36.11,39.36,32.13,48.43,,
Calc annual,0.00,0.00,0.00,0.00,30.31,33.34,36.11,39.36,32.13,48.43,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
