PETERSFIELD-MONKS-BARN,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU747244,Long,-0.93635,Lat,51.01418,Elevation,300,ft,,,,,,,,,,,,,
Station no,730,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.36,3.57,,,,,,6.5,3.2,3.27,,3.68,0.9,6.47,9.38,4.91,6.96,
February,,,,7.37,0.57,,,,,,1.18,2.37,0.3,,0.11,5.06,3.55,6.62,0.66,2.22,
March,,,,2.27,2.45,,,,,,1.49,0.68,1.89,,3.64,0.79,2.27,4.8,0.49,1.7,
April,,,,4.52,4.36,,,,,,2.59,4.68,4.09,,1.09,4.57,3.25,4.05,0.06,2.55,
May,,,,2.76,5.17,,,,,,2.36,3.15,4.08,,0.88,1.11,0.75,3.6,2,1.49,
June,,,,0.36,3.73,,,,,,0.46,1.83,2.51,,2,3.64,3.34,1.2,0.87,1.73,
July,,,,1.05,4.01,,,,,,2.75,3.45,4.51,,2,0.99,4.68,1.03,3.59,4.2,
August,,,,3.52,3.56,,,,,,5.04,6.38,2.08,,2.48,3.04,1.65,1.29,1.45,2.06,
September,,,,1.92,5.88,,,,,,3.69,2.48,3.96,,3.05,4.8,2.81,2.48,2.2,1.1,
October,,,,8.01,4.75,,,,,,2.57,0.59,7.26,,1.86,6.28,1.54,4.4,4.18,5.3,
November,,,,2.44,3.18,,,,,,6.32,4.53,2.3,,4.22,9.66,4.89,2.1,6.33,7.8,
December,,,,4.71,6.67,,,,,,4.18,0.76,1.58,,12.31,5.44,4.66,4.89,4.77,2.86,
Total,,,,41.29,47.9,,,,,,39.13,34.1,37.83,,37.32,46.28,39.86,45.84,31.51,39.97,
,,,,,,,,,,,,,,,,,,,,,
1933 No observations owing to illness,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated,,,,,,,,,,,,,,,,,,,,,
