CHALFORD-HYDE-GRANGE (HYDE BRAE),,,,,,,,,,
Grid ref,SO888020,Long,-2.1635186,Lat,51.716614,Elevation,365,ft,,
Station no,RR6297,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,0.6,2.16,,
February,,,,,,,0.35,4.2,,
March,,,,,,,2.13,4.24,,
April,,,,,,,1.18,2.52,,
May,,,,,,,0.32,1.26,,
June,,,,,,,2.99,3.14,,
July,,,,,,,-999,1.35,,
August,,,,,,,-999,4.75,,
September,,,,,,,7.25,,,
October,,,,,,,4.12,,,
November,,,,,,,0.92,,,
December,,,,,,,4.15,,,
Total,,,,,,,27.57,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1896 Jul Aug -999 (3.56),,,,,,,,,,
1897 Sep Gauge moved,,,,,,,,,,
