SPOONER-ROW-SCHOOL,,,,,,,,,,
Grid ref,TM092975,Long,1.0830954,Lat,52.535164,Elevation,160,ft,,
Station no,1405/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,1.12,1.79,2.36,2.92,4.04,2.54,5.18,
February,,,2.05,0.84,2.69,2.53,2.88,1.05,1.06,
March,,,2.01,1.75,1.02,0.5,3.43,0.3,1.88,
April,,,1.37,3.41,2.71,1.37,2.34,0.5,2.31,
May,,,1.71,1.94,1.18,0.62,2.64,1.95,0.65,
June,,,3.32,1.67,3.27,3.35,1.54,0.9,1.53,
July,,,1.45,1.34,0.54,3.95,1.91,1.81,0.96,
August,,,0.83,1.5,1.17,1.39,2.01,3.95,3.79,
September,,,2.79,2.25,3.37,2.55,2.13,2.45,1.16,
October,,,2.82,1.66,2.66,1.73,1.48,2.83,6.06,
November,,,2.17,1.9,3.63,2.82,1.46,2.39,4.32,
December,,,0.87,4.67,2.19,1.41,3.52,2.48,1.95,
Total,,,22.51,24.72,26.79,25.14,29.38,23.15,30.85,
