WOLDINGHAM,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ371549,Long,-0.035804438,Lat,51.276758,Elevation,797,ft.,,,,,,,,,,,,,
Station no,78/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.65,2.33,3.18,2.43,2.63,1.61,5.92,6.97,4.93,6.18,
February,,,,,,,,,,,1.35,2.89,0.79,2.52,0.47,4,2.31,5.85,1.34,1.94,
March,,,,,,,,,,,1.71,0.94,2.07,3.95,2.53,0.38,1.58,4.59,0.53,2.08,
April,,,,,,,,,,,2.13,4.69,3.02,0.86,3.35,3.54,2.49,3.92,0.43,3.38,
May,,,,,,,,,,,3.06,3.41,4.35,1.73,0.71,1.68,0.44,2.74,2.94,2.1,
June,,,,,,,,,,,0.61,1.88,1.53,1.4,1.35,3.61,3,2.33,0.85,1.21,
July,,,,,,,,,,,3.68,3.23,2.55,2.17,2.01,0.86,4.8,0.86,2.39,2.65,
August,,,,,,,,,,,3.72,6.47,1.28,0.85,1.9,3.16,0.64,2.32,3.41,4,
September,,,,,,,,,,,4.49,2.33,2.21,2.96,2.23,4.51,2.41,2.39,3.17,1.94,
October,,,,,,,,,,,1.98,1.03,7.31,2.27,2.87,4.49,2.58,3.64,4.74,9.09,
November,,,,,,,,,,,4.99,4.48,1.66,1.21,3.86,5.94,5.22,2.39,4.56,6.98,
December,,,,,,,,,,,2.45,0.92,0.99,0.61,8.11,4.77,4.86,5.77,4.71,2.36,
Total,,,,,,,,,,,33.82,34.6,30.94,22.96,32.02,38.55,36.25,43.77,34,43.91,
,,,,,,,,,,,,,,,,,,,,,
NGR is adjacent to church as noted on record. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
