CAMBRIDGE-TRUMPINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL442549,Long,0.107294,Lat,52.173522,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.59,2.61,1.52,0.68,0.88,2.01,2.08,0.91,1.75,1.58,2.52,0.95,1.95,1.05,2.23,2.73,0.58,0.45,1.89,1.55,1.19,2.93,1.15,0.94,0.75,1.48,1.6,3.28,2.28,1.56,3.11,0.93,,,
February,,,,,,1.42,0.22,0.66,1.38,1.52,1,0.03,1.87,2.79,1.39,0.26,0.63,2.4,0.73,1.16,3.9,0.71,1.1,0.65,2.79,1.32,2.06,1.22,1.19,0.22,2.07,0.87,1.12,0.66,1.11,2.15,3.14,,,
March,,,,,,0.88,1.34,1.27,2.64,1.25,2.64,1.57,0.95,0.29,0.7,1.56,3.53,2.95,1.34,1.06,0.78,2.09,0.94,2.3,1.35,1.94,1.66,0.97,1.74,3,0.61,1.42,2.17,1.53,3.09,1.43,3.17,,,
April,,,,,1.2,1.85,1.17,1.09,1.82,2.29,0.7,1.08,1.29,0.13,1.43,0.92,0.8,1.76,1.43,1.98,0.84,2.43,0.82,1.74,0.75,1.71,0.72,3.13,2.51,1.58,2.58,0.81,0.13,1.56,0.7,0.95,1.3,,,
May,,,,,0.78,3.17,3.54,2.51,0.59,4.28,1.82,3.27,1.39,1.14,2.31,0.92,0.3,1.52,2.6,1.61,1.44,0.9,4,3.95,1.53,1.12,1.15,3.15,1.48,1.39,2.56,1.02,1.31,1.91,1.28,1.46,1.75,,,
June,,,,,1.12,2.51,0.33,0.69,2,2.19,2.02,2.84,3.64,0.8,2.13,0.92,2.13,2.46,2.87,1.41,2.27,2.23,2.44,3.95,1.16,3.66,3.98,2.08,1.64,3.34,1.34,3.05,2.93,2.64,2.24,1.45,1.43,,,
July,,,,,3.29,0.55,3.08,0.65,3.94,4.2,3.37,3.79,3.4,4.02,2.96,3.9,0.81,0.42,1.23,1.19,1.07,2.58,1.12,4.76,3.4,1.59,0.84,1.81,3.29,3.14,2.15,0.41,1.86,1.34,1.53,3.68,1.91,,,
August,,,,,1.41,1.33,2.7,1.13,2.44,2.16,1.84,4.2,3.26,4.23,3.19,5,3.75,3.35,1.73,0.79,2.7,2.27,3.46,3.14,1.97,2.33,0.75,2.01,2.23,1.76,1.91,0.82,7.2,2.27,1.65,3.61,2.65,,,
September,,,,,1.66,2.88,0.92,2.19,1.05,3.07,0.18,1.57,3.88,0.76,2.07,0.72,4.74,3.17,0.17,2.3,0.45,1.77,0.62,2.23,1.77,1.96,0.82,0.69,1.57,1.8,1.22,1.13,1.89,1.58,0.79,1.41,,,,
October,,,,,1.35,4.61,2.58,1.51,0.86,3.24,1.74,4.89,4.72,3.63,2.2,2.42,3.47,1,2.36,1.86,1.81,2.29,1.42,5.01,1.21,1.45,3.41,2.23,1.28,3.68,3,2.58,2.1,2.67,2.41,1,,,,
November,,,,,0.79,2.92,2.63,1.88,3.41,0.9,1.92,1.9,2.06,2.61,3.71,2.7,0.93,1,2.1,3.2,2.07,1.4,1.52,2.36,1.13,2.12,3.84,2.51,0.94,0.67,2.75,2.71,1.97,1.94,2.61,2.12,,,,
December,,,,,2.18,0.77,3.65,1.01,1.04,1.62,0.74,2.59,1.58,1.4,1.86,1.53,2.91,1.53,2.05,1.75,2.27,2.51,1.22,1.28,1.79,0.8,2.2,3.08,1.61,3.03,3.63,3.5,2.27,0.78,5.59,3.2,,,,
Total,,,,,,24.48,24.77,16.11,21.85,27.6,19.98,29.81,28.95,23.55,25.53,23.37,24.95,23.51,19.66,20.54,22.33,21.76,19.11,33.26,20.4,21.19,24.36,24.03,20.42,24.36,25.3,19.92,28.23,21.16,24.56,25.57,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
