"TRUMPINGTON",,,,,,,,,,,,
Grid ref,TL442549,Long,0.107294,Lat,52.173522,,,,,,,
Station no,RR4123,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.73,0.58,0.45,1.89,1.55,1.19,2.93,1.15,0.94,0.75,,
February,3.90,0.71,1.10,0.65,2.79,1.32,2.06,1.22,1.19,0.22,,
March,0.78,2.09,0.94,2.30,1.35,1.94,1.66,0.97,1.74,3.00,,
April,0.84,2.43,0.82,1.74,0.75,1.71,0.72,3.13,2.51,1.58,,
May,1.44,0.90,4.00,3.95,1.53,1.12,1.15,3.15,1.48,1.39,,
June,2.27,2.23,2.44,3.95,1.16,3.66,3.98,2.08,1.64,3.34,,
July,1.07,2.58,1.12,4.76,3.40,1.59,0.84,1.81,3.29,3.14,,
August,2.70,2.27,3.46,3.14,1.97,2.33,0.75,2.01,2.23,1.76,,
September,0.45,1.77,0.62,2.23,1.77,1.96,0.82,0.69,1.57,1.80,,
October,1.81,2.29,1.42,5.01,1.21,1.45,3.41,2.23,1.28,3.68,,
November,2.07,1.40,1.52,2.36,1.13,2.12,3.84,2.51,0.94,0.67,,
December,2.27,2.51,1.22,1.28,1.79,0.80,2.20,3.08,1.61,3.03,,
Total,22.33,21.76,19.11,33.26,20.40,21.19,24.36,24.03,20.42,24.36,,
Calc annual,22.33,21.76,19.11,33.26,20.40,21.19,24.36,24.03,20.42,24.36,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
