PANGBOURNE-WOODBERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU631759,Long,-1.092781,Lat,51.478548,Elevation,220,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,810/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,3.68,1.51,2.06,2.23,2.1,0.74,4.29,5.06,2.99,4.54,2.77,3.34,2.92,4.95,1.73,1.44,2.09,2.02,5.75,1.24,
February,,,,,,,,,,,0.76,1.94,0.21,3.99,0.15,2.41,2.09,4.32,0.5,1.2,2.2,2.21,0.98,1.3,1.04,1.86,2.2,1.69,1.25,1.35,
March,,,,,,,,,,,1.17,0.12,1.67,2.94,2.49,0.59,2.02,3.91,0.21,1.59,2.55,2.97,2.14,0.59,0.2,0.72,1.24,5.42,0.82,,
April,,,,,,,,,,,2.03,3.37,3.21,1.25,1.37,3.67,1.75,2.41,0.11,2.67,2.35,1.26,1.56,1,1.2,1.12,2,2.45,1.27,,
May,,,,,,,,,,,2.18,3.11,5.09,1.64,0.7,1.55,0.81,3.72,2.04,1.35,1.02,2.39,3.26,2.43,0.61,1.95,3.15,1.81,3.93,,
June,,,,,,,,,,,0.53,1.31,1.41,2.37,1.56,3.73,3.17,1.57,0.75,1.29,0.75,2.36,0.33,1.44,1.7,2.23,2.65,1.56,2.09,,
July,,,,,,,,,,,2.74,3.69,2.96,1.59,1.53,0.67,4.05,1.61,1.88,4.91,2.51,3.31,3.02,1.24,2.02,2.15,1.37,3.13,0.96,,
August,,,,,,,,,,,2.61,4.19,1.52,0.53,2.43,2.68,0.92,0.46,3.1,1.99,0.03,3.52,2.46,1.62,1.26,2.01,3.79,0.4,4.36,,
September,,,,,,,,,,,3.33,1.69,3.49,2.85,1.6,4.69,2.76,3.21,1.13,0.74,1.35,0.3,1.24,1.4,2.31,2.03,4.47,1.17,2.34,,
October,,,,,,,,,,,1.63,0.67,4.28,1.95,1.26,3.69,1.96,3.11,3.32,6.02,3.25,1.55,3.16,3.78,3.78,3.4,1.07,0.52,2.67,,
November,,,,,,,,,,,4.61,3.09,1.52,1.02,1.65,4.18,3.21,1.2,3.34,4.72,7.23,2.93,1.86,1.56,4.58,0.16,5.2,1.63,1.87,,
December,,,,,,,,,,,3.49,1.03,0.83,0.56,6.65,3.04,2.56,2.63,3.69,1.44,1.43,1.46,3.86,1.47,1.66,3.25,2.28,3.19,3.44,,
Total,,,,,,,,,,,28.76,25.72,28.25,22.92,23.49,31.64,29.59,33.21,23.06,32.46,27.44,27.6,26.79,22.78,22.09,22.32,31.51,24.99,30.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1940s record and is in Pangourne with the correct relationship to the church and station. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
