HAVANT-WADE-COURT,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU720053,Long,-0.97799,Lat,50.84328,Elevation,17,ft,,,,,,,,,,,,,
Station no,685,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.41,3.99,1.74,2.9,2.03,2.21,0.75,5.11,5.78,,,
February,,,,,,,,,,1.23,1.5,1.79,0.2,3.32,0.06,3.55,2.65,4.88,,,
March,,,,,,,,,,0.1,1.46,1.21,1.45,2.83,2.95,0.83,1.93,2.24,,,
April,,,,,,,,,,0.75,2.48,2.83,2.59,1.23,1.88,3.17,1.65,2.12,,,
May,,,,,,,,,,2.08,1.47,2.64,4.25,2.44,0.89,0.84,0.16,0.9,,,
June,,,,,,,,,,1.58,0.46,1.65,1.43,1.84,1.48,2.61,2.99,1.38,,,
July,,,,,,,,,,1.8,1.81,3.44,3.17,1.57,1.07,0.81,3.69,2.06,,,
August,,,,,,,,,,1.61,3.03,3.61,1.08,0.67,2.94,2.89,0.43,1.84,,,
September,,,,,,,,,,0.65,2.53,2.07,2.62,3.15,2.13,4.72,2.79,,,,
October,,,,,,,,,,3.33,2.32,0.59,6.49,1.71,1.91,4.38,0.97,,,,
November,,,,,,,,,,7.37,5.15,3.6,1.52,0.67,4.24,8.32,5.41,,,,
December,,,,,,,,,,6.1,3.09,0.75,0.67,0.73,8.49,3.65,2.47,,,,
Total,,,,,,,,,,28.01,29.29,25.92,28.37,22.19,30.25,36.52,30.25,,,,
,,,,,,,,,,,,,,,,,,,,,
Observatory not identified NGR NW of house at lowest elevation,,,,,,,,,,,,,,,,,,,,,
1937 Oct Station terminated Observer moved to Horsham Stn No 471/5,,,,,,,,,,,,,,,,,,,,,
