"PLYMOUTH (HARTLEY RESERVOIR)",,,,,,,,,,,,
Grid ref,SX486569,Long,-4.131317,Lat,50.392437,,,,,,,
Station no,1640,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.02,3.86,1.25,1.95,6.04,4.80,3.87,5.49,5.73,5.33,,
February,4.69,0.71,2.04,5.24,3.43,0.26,6.25,4.34,0.27,4.66,,
March,4.74,4.74,0.70,4.08,1.71,1.68,5.27,2.07,5.89,2.78,,
April,1.97,3.86,2.68,0.44,1.75,1.11,0.17,0.85,3.83,2.98,,
May,3.14,2.34,4.42,3.05,3.45,1.06,2.08,3.74,0.79,2.27,,
June,1.09,1.45,2.98,3.87,2.91,2.74,1.68,4.02,1.78,1.34,,
July,1.18,1.15,4.20,3.75,1.89,4.27,4.01,3.53,1.40,5.21,,
August,6.23,6.20,2.13,3.19,0.20,4.14,3.72,6.12,3.13,4.86,,
September,5.42,3.02,3.56,5.11,2.17,7.24,4.19,6.15,0.04,6.35,,
October,1.38,5.88,3.72,4.58,2.80,1.82,3.27,3.72,5.08,8.79,,
November,6.58,3.87,3.26,8.82,4.29,1.61,3.03,3.49,8.64,7.32,,
December,4.09,3.47,0.94,4.02,6.75,6.68,3.16,4.92,9.94,4.83,,
Total,45.53,40.55,31.88,48.10,37.39,37.41,40.70,48.44,46.52,56.72,,
Calc annual,45.53,40.55,31.88,48.10,37.39,37.41,40.70,48.44,46.52,56.72,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
