"PLYMOUTH HARTLEY RESERVOIR",,,,,,,,,,,,
Grid ref,SX486568,Long,-4.131276,Lat,50.391539,,,,,,,
Station no,1640,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.06,,
February,,,,,,,,,,0.49,,
March,,,,,,,,,,5.84,,
April,,,,,,,,,,2.18,,
May,,,,,,,,,,1.00,,
June,,,,,,,,,,3.31,,
July,,,,,,,,,,4.08,,
August,,,,,,,,,,1.98,,
September,,,,,,,,,,0.95,,
October,,,,,,,,,,7.80,,
November,,,,,,,,,,1.24,,
December,,,,,,,,,,6.79,,
Total,,,,,,,,,,37.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
