BRIGHTON-WW-BALSDEAN-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ374045,Long,-0.050618,Lat,50.823746,Elevation,399,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,486/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.05,4,6.33,2.75,4.24,2.98,6.66,2.39,1.93,2.59,2.18,5.24,1.28,1.34,4.16,2.82,1.47,1.84,3.74,5.71,2.02,4.72,3.88,2.82
February,,,,,,,5.57,0.67,1.77,2.93,3.94,0.6,1.52,1.22,2.34,3.42,2.15,1.67,1.22,4.69,6.01,0.98,1.34,3.33,1.69,0.11,5.04,3.16,0.03,2.92
March,,,,,,,2.8,0.69,1.52,3.27,2.7,3.74,0.55,0.11,1.68,1.59,7.49,1.21,1.38,1.35,4.14,3.17,0.33,3.88,0.97,0.37,1.74,2.28,1.75,2.05
April,,,,,,,3.04,0.37,2.92,1.48,1.56,1,1.62,1.61,1.24,2.12,2.02,1.25,1.63,2.45,2.27,1.93,2.41,0.54,0.5,1.42,0.2,1.03,2.43,1.08
May,,,,,,,3,2.79,0.96,1.64,2.03,2.66,2.24,0.46,2.57,3.18,1.38,2.24,2.06,0.93,2.21,1.66,1.26,1.81,4.1,0.47,1.16,2.61,0.5,1.74
June,,,,,,,1.32,0.48,1.37,0.17,2.31,0.24,1.83,1.25,2.68,2.75,3.32,1.65,0.69,0.57,1.85,1.14,1.19,3.09,1.78,2.15,2.03,3.7,2.05,1.85
July,,,,,,,1.69,1.5,2.86,2.83,2.67,2.49,2.59,2.14,4.59,1.98,2.3,2.31,0.28,2.55,1.98,1.24,3.39,4.99,0.73,2.91,4.33,2.53,1.64,3.33
August,,,,,,,1.79,1.5,1.57,0.12,4.59,3.83,1.55,2.63,1.23,6.51,0.28,6.03,1.16,3.47,4.68,2.88,1.99,3.34,2.49,3.65,2.66,5.26,1.14,8.17
September,,,,,,,2.52,2.87,0.42,2.26,0.72,3.38,2.57,2.75,2.12,3.37,2.69,1.95,2.05,3.49,4.07,4.17,4.56,3.43,3.17,3.22,4.46,3.55,0.17,3.91
October,,,,,,,3.11,3.79,7.47,3.47,1.18,3.48,3.42,4.93,3.16,0.85,0.99,2.54,8.18,1.27,1.95,4.22,3.32,3.83,3.9,1.73,1.64,4.25,2.87,8.4
November,,,,,,,2.04,3.54,7,8.07,4.67,1.37,2.9,5.48,0.56,4.05,2.01,3.12,4.59,6.68,5.71,4.31,2.43,6.25,1.43,0.77,3.14,3.23,4.41,6.59
December,,,,,,,4,3.42,2.1,3.11,1.82,3.39,2.11,1.96,4.1,3.82,2.75,3.28,1.91,2.14,3.03,4.51,0.9,2.89,4.39,5,2.2,4.85,7.42,4.24
Total,,,,,,,35.93,25.62,36.29,32.1,32.43,29.16,29.56,26.93,28.2,36.23,29.56,32.49,26.43,30.93,42.06,33.03,24.59,39.22,28.89,27.51,30.62,41.17,28.29,47.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
