CONSETT (CROOKHALL SEWAGE WKS.),,,,,,,,,,,,,,,,,,,,
Grid ref,NZ125505,Long,-1.806853,Lat,54.849151,Elevation,700,ft,,,,,,,,,,,,
Station no,3545/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.37,1.94,3.34,0.77,4.76,1.65,1.87,8.17,1.03,1.43,1.42,2.08,0.45,2.72,2.25,3.23,1.99,2.12,2.74,4.89
February,,2.05,1.25,2.3,1.2,0.73,6,1.47,0.84,2.95,2.15,0.42,1.41,2.19,2.95,2.53,2.57,3.46,0.6,2.66
March,,1.25,0.78,0.56,0.45,1.64,5.3,0.77,0.9,0.54,4.83,1.25,0.03,1.28,2.09,0.92,1.42,2.38,0.85,2.93
April,1.38,1.1,2.11,0.92,1.98,1.28,4.74,1.51,1.5,1.02,1.66,1.32,1.9,0.73,0.43,1.17,0.34,1.79,2.02,1.16
May,1.68,1.43,3.26,1.58,3.63,2.24,2.15,1.71,0.73,1.68,3.02,1.53,1.83,4.38,2,0.75,1.78,3.81,0.67,2.82
June,1.85,1.77,1.71,2.3,2.63,1.53,2.75,4.19,0.91,0.87,1.57,1.31,1.99,1.78,2.74,3.89,1.56,3.08,3.06,0.26
July,1.21,2.98,1.4,2.37,2.09,2.76,2.57,1.13,2.42,2.67,1.64,0.7,1.78,1.93,1.21,2.62,3.89,3.88,1.87,4.43
August,2.04,2.61,3.96,1.84,4.07,3.65,0.32,4.92,2.73,4.13,4.3,1.73,4.39,7.16,0.78,7.8,4.97,1.68,0.13,3.04
September,0.53,3.43,2.25,5.16,1.78,3.76,1.56,3.44,1.66,2.21,1.08,2.97,1.57,2.53,0.95,2.96,3.49,2.29,1.15,2.73
October,3.16,2.68,1.99,3.27,3.44,1.03,1.08,1.42,2.02,0.84,0.71,2.18,1.97,4.18,1.82,1.64,1.73,1.65,1.32,9.64
November,3.53,0.78,2.57,3.85,1.31,5.14,2.16,1.49,2.38,4.35,4.45,2.34,1.22,4.85,1.9,0.57,2.2,0.42,4.75,2.56
December,0.44,1.9,1.36,1.46,1.31,2.26,2.25,2.15,2.31,2.01,2.29,2.18,0.95,2.55,3.23,2.42,2.03,4.47,4.21,2.09
Total,,23.92,25.98,26.38,28.65,27.67,32.75,32.37,19.43,24.7,29.12,20.01,19.49,36.28,22.35,30.5,27.97,31.03,23.37,39.21
,,,,,,,,,,,,,,,,,,,,
"1941 Jan apportioned; Feb/March estimates for snow, total classed as estimated - all removed",,,,,,,,,,,,,,,,,,,,
CROOKHALL S WKS ,NZ1259950394,01/01/1941,31/12/1973,,,,,,,,,,,,,,,,,
