CHEVIOT BROADSTRUTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT932234,Long,-2.1092094,Lat,55.504327,Elevation,1692,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,3.75,2.25,3.5,2.75,1.13,1.5,3.75,1.25,4.13,9.87,2,7.25,3.75,8.63,2.25,3.5,2.13,4,3.5,9.5,13,,,,
February,,,,,,1.25,5.5,1.5,6.5,4.87,3.75,8.38,2.5,2.25,3,2.88,6.5,1.13,8.75,2.38,2.13,0,2,7.5,4,15,,,,
March,,,,,2,1.5,2.75,2.25,2.5,1.75,1.88,5.5,3,5.75,6.5,1.87,6.75,6.87,13.75,7.37,3,4.5,6.5,1,8,4,,,,
April,,,,,1.75,1.5,14.75,3.75,2.94,3.13,2.5,1.75,5.5,1.5,2.25,4.88,5.5,1.88,5.87,6.25,1,3.12,3,3,9,5,,,,
May,,,,,1.38,1.87,1.25,4.87,4.75,4,2.37,5.25,5.25,1.5,1.75,1.87,3.87,3,8.13,3.13,2.12,1.5,2,2,8,1,,,,
June,,,,,3,3.37,2.5,3,3.75,13.62,2.37,4,5.75,4,1.25,1.5,1.75,1.75,11.62,2.25,0.5,2,0.5,3.5,3,5,,,,
July,,,,,2.87,2.5,1.13,13.88,1.25,13.88,6,3.5,3.75,7.25,6.88,1.25,4.25,0.5,16.88,1.12,4,3.13,3,9,4,17,,,,
August,,,,,3.75,2.51,9.5,16.75,7.87,13.37,1.63,11.75,6.75,4.75,3,2,1.13,0.12,9.75,7.38,9.13,4.5,11.5,1,6,2,,,,
September,,,,,4.13,3.75,17,3.25,4,1.38,8,9.25,4,7.25,3.75,3.13,2.75,10.75,5.37,5.37,3.25,11,14.5,2,8,0,,,,
October,,,,,2.5,9.25,1.87,6.75,3.38,3.87,6.37,6.37,6,2.87,2.5,6.87,11.75,3.25,6.13,13.25,4.12,13,17.5,2.5,15,11,,,,
November,,,,,3.75,3.5,3.5,2.75,6.75,6.75,2.75,10.38,5.63,1.63,1.38,3,4.5,5.13,12.37,3.38,7.38,9,9,3.5,4,7,,,,
December,,,,,1.25,1.75,17,1.88,3.75,9.88,6.63,2.87,5.75,1.25,2.87,1.88,3.75,8.25,10.88,2.37,4.5,7.5,3,16,7,4,,,,
Total,,,,,,36.5,79,64.13,50.19,77.63,45.75,72.75,55.13,44.13,45,33.13,59.75,46.38,118.13,56.5,44.63,61.38,76.5,54.5,85.5,84,,,,
