"LANCASTER STRATHSPEY",,,,,,,,,,,,
Grid ref,SD471606,Long,-2.809247,Lat,54.038650,,,,,,,
Station no,3046,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.58,1.99,4.55,2.02,4.01,2.01,,
February,,,,,3.78,1.86,2.80,1.91,-999.00,2.57,,
March,,,,,2.87,3.05,3.03,4.05,3.31,3.05,,
April,,,,,3.09,3.68,1.81,1.66,2.58,3.49,,
May,,,,,3.39,1.47,5.39,4.53,3.33,1.91,,
June,,,,,2.21,2.36,2.26,7.35,2.83,2.35,,
July,,,,,1.53,1.71,2.42,3.24,3.11,6.41,,
August,,,,,3.37,4.82,4.93,4.75,5.88,4.12,,
September,,,,,2.21,3.27,1.08,0.81,4.56,2.93,,
October,,,,,3.58,2.80,6.98,5.19,2.11,5.93,,
November,,,,,3.04,4.34,3.53,4.26,3.95,1.77,,
December,,,,,3.33,1.30,3.44,5.36,3.30,8.13,,
Total,,,,,36.98,32.65,42.22,45.13,41.49,44.67,,
Calc annual,0.00,0.00,0.00,0.00,36.98,32.65,42.22,45.13,38.97,44.67,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,2.52,0.00,,
