FORFAR LITTLECAUSEWAY,,,,,,,,,,,,,,,,,,,,
Grid ref,NO455505,Long,-2.89026,Lat,56.64313,Elevation,218,ft,,,,,,,,,,,,
Station no,RR8826,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.08,3.84,1.73,0.59,3.36,1.53,1.71,2.01,2.25,1.22,,,,,,,,
February,,,1.41,3.89,4.7,1.17,1.33,1.59,1.16,0.62,2.89,1.23,,,,,,,,
March,,,0.9,4.11,2.2,3.87,1.23,1.42,4.16,5.37,2.25,1.35,,,,,,,,
April,,,2.97,1.4,2.25,2.21,1.04,2.79,0.86,3.69,2.27,1.07,,,,,,,,
May,,,1.93,1.46,2.57,2.13,5.29,4.62,1.56,3.26,1.51,1.48,,,,,,,,
June,,,1.64,1.59,0.85,1.39,1.02,3.94,1.38,0.68,1.24,,,,,,,,,
July,,,2.72,5.15,1.36,1.81,2.02,2.23,1.78,2.01,3.94,,,,,,,,,
August,,,3.27,4.44,4.92,4.01,4.8,2.91,2.33,1.63,5.71,,,,,,,,,
September,,,1.69,3.37,2.73,1.22,1.02,0.9,3.65,1.1,0.82,,,,,,,,,
October,,,1.48,5.66,0.69,2.55,4.33,4.51,3.51,3.31,1.94,,,,,,,,,
November,,,5.77,1.41,0.63,6.15,4.28,2.32,2.01,0.28,3.35,,,,,,,,,
December,,,4.34,3.75,2.05,1.59,2.03,4.42,3.98,3.57,4.68,,,,,,,,,
Total,,,29.2,40.07,26.68,28.69,31.75,33.18,28.09,27.53,32.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8826,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
