FORFAR LITTLECAUSEWAY,,,,,,,,,,,,
Grid ref,NO455505,Long,-2.890260,Lat,56.643130,,,,,,,
Station no,RR8826,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.08,3.84,1.73,0.59,3.36,1.53,1.71,2.01,,
February,,,1.41,3.89,4.70,1.17,1.33,1.59,1.16,0.62,,
March,,,0.90,4.11,2.20,3.87,1.23,1.42,4.16,5.37,,
April,,,2.97,1.40,2.25,2.21,1.04,2.79,0.86,3.69,,
May,,,1.93,1.46,2.57,2.13,5.29,4.62,1.56,3.26,,
June,,,1.64,1.59,0.85,1.39,1.02,3.94,1.38,0.68,,
July,,,2.72,5.15,1.36,1.81,2.02,2.23,1.78,2.01,,
August,,,3.27,4.44,4.92,4.01,4.80,2.91,2.33,1.63,,
September,,,1.69,3.37,2.73,1.22,1.02,0.90,3.65,1.10,,
October,,,1.48,5.66,0.69,2.55,4.33,4.51,3.51,3.31,,
November,,,5.77,1.41,0.63,6.15,4.28,2.32,2.01,0.28,,
December,,,4.34,3.75,2.05,1.59,2.03,4.42,3.98,3.57,,
Total,,,29.20,40.07,26.68,28.69,31.75,33.18,28.09,27.53,,
Calc annual,0.00,0.00,29.20,40.07,26.68,28.69,31.75,33.18,28.09,27.53,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
