"GLASGOW MAXWELL PARK",,,,,,,,,,,,
Grid ref,NS568631,Long,-4.288335,Lat,55.839802,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.34,2.59,3.17,5.97,3.90,1.56,4.95,1.79,4.51,4.14,,
February,1.72,1.19,0.90,6.98,2.23,2.40,2.09,1.95,2.36,1.48,,
March,0.28,4.76,2.23,7.68,1.04,3.30,2.29,3.67,4.34,2.82,,
April,2.27,3.66,0.66,0.75,4.09,1.91,0.91,1.93,1.14,3.22,,
May,2.20,2.00,2.02,2.48,3.17,1.52,4.15,3.12,3.25,1.53,,
June,3.88,2.89,1.74,1.60,1.58,0.20,1.48,4.12,2.51,3.30,,
July,3.05,2.38,2.29,3.17,3.26,2.80,1.75,3.21,2.09,3.57,,
August,4.37,3.83,3.31,6.08,3.17,3.78,4.99,5.16,2.04,2.95,,
September,3.70,3.28,3.09,3.67,2.94,2.53,0.98,1.50,4.21,1.70,,
October,4.80,4.16,2.28,7.30,1.92,2.30,5.12,6.71,1.80,6.10,,
November,6.23,3.06,2.18,2.89,1.72,3.61,4.32,2.39,2.60,2.19,,
December,8.03,4.09,4.48,3.45,3.50,3.87,2.67,5.67,3.18,5.51,,
Total,45.87,37.89,28.35,52.02,32.52,29.78,35.70,41.22,34.03,38.51,,
Calc annual,45.87,37.89,28.35,52.02,32.52,29.78,35.70,41.22,34.03,38.51,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
