GLASGOW (MAXWELL PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS568631,Long,-4.288335,Lat,55.839802,Elevation,69,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5206/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,
January,,,,,,1.1,1.86,1.21,3.07,6.2,5.34,2.59,3.17,5.97,3.9,1.56,4.95,1.79,4.51,4.14,4.06,2.23,2.37,3.25,3.5,2.19,5.25,1.71,5.28,3.34,4.76,6.62,3.47,3.6,3.65,4.59,3.8,4.76,7.71,1.35,4.79,3.25,6.57,4.04,4.97,1.79,4.42,3.3,6.66,4.32,2.87,1,5.64,3.9,,,,,,,,
February,,,,,,0.04,1.66,2.66,3.43,3.9,1.72,1.19,0.9,6.98,2.23,2.4,2.09,1.95,2.36,1.48,3.45,4.27,3.01,3.74,3.72,3.75,4.52,0.71,5.06,0.48,5.16,1.28,3.36,3.83,0.6,3.47,3.66,1.93,3.86,1.65,0.22,3.1,0.01,2.91,0.39,4.09,1.75,4.17,1.88,4.84,1.33,3.03,1.42,4.83,,,,,,,,
March,,,,,,2.34,4.07,4.14,1.26,3.29,0.28,4.76,2.23,7.68,1.04,3.3,2.29,3.67,4.34,2.82,2.11,1.17,3.58,4.94,4.67,1.28,2.17,2.1,1.44,3.07,4.18,6.06,1.32,1.62,0.79,2.13,2.37,2.54,2.94,0.71,2.73,1.09,1.88,2.49,2.58,1.67,2.58,1.25,3.13,2.87,4.12,3.13,2.05,1.82,,,,,,,,
April,,,,,1.84,1.88,1.85,1.98,2.32,3.49,2.27,3.66,0.66,0.75,4.09,1.91,0.91,1.93,1.14,3.22,4.19,2.58,1.44,3.07,2.57,2.41,3.26,1.56,0.61,1.75,1.93,0.82,1.81,3.31,2.17,4.4,1.76,2.23,0.88,1.07,0.99,1.36,3.15,1.48,2.81,2.94,1.04,1.79,0.41,1.49,2.24,3.16,2.1,2.63,,,,,,,,
May,,,,,2.72,0.45,0.72,2.53,2.26,4.17,2.2,2,2.02,2.48,3.17,1.52,4.15,3.12,3.25,1.53,1.6,2.18,1.17,2.76,1.66,0.86,3.86,2.8,2.48,0.55,4.94,2.28,2.74,1.94,4.29,6.34,2.26,2.3,2.04,2.44,1.47,3.47,3.03,2.35,2.01,0.53,1.43,1.54,4.03,0.71,1.33,2.98,2.68,3.08,,,,,,,,
June,,,,,2.86,1.84,5.72,6.19,2,1.82,3.88,2.89,1.74,1.6,1.58,0.2,1.48,4.12,2.51,3.3,2.18,1.86,4.54,3.82,0.41,1.83,3.01,2.89,1.09,4.13,2.14,0.53,1.46,1.23,1.77,0.33,1.71,4.02,4.41,2.73,2.62,4.45,0.94,1.84,1.23,5.02,1.45,2.37,4.38,1.58,0.87,0.62,1.33,2.33,,,,,,,,
July,,,,,2.9,3.71,3.17,1.91,1.67,3.93,3.05,2.38,2.29,3.17,3.26,2.8,1.75,3.21,2.09,3.57,4.43,2.39,2.46,1.47,2.06,3.33,3.58,2.16,3.25,0.71,3.01,3,2.35,3.46,3.03,1.44,2.91,3.44,1.93,2.48,4.03,3.53,2.74,3.77,1.78,1.83,4.63,3.26,3.86,3.4,3.72,3.12,2.13,2.31,,,,,,,,
August,,,,,5.49,5.69,1.81,4.7,4.5,1.43,4.37,3.83,3.31,6.08,3.17,3.78,4.99,5.16,2.04,2.95,5.68,1.88,3.59,1.1,3.27,1.64,3.86,3.74,3,3.09,4.26,5.58,2.76,4.46,3.27,2.79,3.35,5.43,2.6,5.25,5.11,2.09,1.52,2.31,4.41,2.12,2.7,3.02,3.31,1.46,1.81,4.34,3.56,5.73,,,,,,,,
September,,,,,0.11,1.74,4.59,3.02,4.07,3.99,3.7,3.28,3.09,3.67,2.94,2.53,0.98,1.5,4.21,1.7,1.25,2.68,2.49,2.14,1.66,1.27,0.94,2.95,6.81,3.17,3.01,1.9,1.12,5.54,4.21,2.98,2.28,6.35,2.79,1.13,4.78,1.26,4.28,0.82,4.03,4.82,3.38,2.37,2.84,2.25,3.61,1.35,4.63,2.19,,,,,,,,
October,,,,,2.76,4.51,4.34,1.84,3.43,3.43,4.8,4.16,2.28,7.3,1.92,2.3,5.12,6.71,1.8,6.1,1.24,2.76,3.9,1.79,1.3,2.41,6.46,6.15,5.34,1.09,1.51,4.78,1.81,4.53,2.91,2.58,4.14,4.91,5.4,4.51,6.02,2.83,5.5,2.78,5.61,8.14,3.85,3.14,7.3,2.1,4.2,3.08,4.29,6.39,,,,,,,,
November,,,,,4.21,4.7,1.21,2.87,4.57,6.41,6.23,3.06,2.18,2.89,1.72,3.61,4.32,2.39,2.6,2.19,4.06,5.27,4.21,5.05,4.27,1.65,3.76,6.88,4.04,4.57,3.79,2.49,2.2,3.4,2.74,0.66,5.74,3.75,4.28,6.43,4.53,6.08,3.26,1.82,0.82,3.95,3.67,0.52,6.33,7.06,4.86,2.99,0.77,2.06,,,,,,,,
