"GLASGOW (MAXWELL PARK)",,,,,,,,,,,,
Grid ref,NS568631,Long,-4.288335,Lat,55.839802,,,,,,,
Station no,5206/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.82,4.72,1.06,4.91,2.76,2.34,5.64,4.08,,,,
February,2.73,1.32,1.30,3.47,2.43,1.01,2.54,2.44,,,,
March,2.70,2.43,1.08,2.34,1.80,1.74,3.67,0.95,,,,
April,2.37,1.99,1.72,1.36,1.31,0.96,2.00,0.97,,,,
May,1.98,2.03,2.21,3.01,3.22,2.17,2.49,2.96,,,,
June,2.34,2.69,1.45,3.10,1.79,2.63,1.89,2.96,,,,
July,2.64,2.26,4.33,3.38,1.59,4.54,3.33,4.68,,,,
August,4.67,2.87,3.19,5.44,1.04,5.12,3.84,4.81,,,,
September,3.02,3.21,2.98,4.33,3.33,4.72,2.59,3.68,,,,
October,0.90,4.22,2.26,8.78,2.62,2.82,3.86,3.43,,,,
November,6.40,1.86,5.72,5.99,1.74,1.20,1.75,1.73,,,,
December,5.89,3.47,4.63,4.75,5.64,4.54,3.68,4.66,,,,
Total,40.46,33.07,31.93,50.86,29.27,33.79,37.28,37.35,,,,
Calc annual,40.46,33.07,31.93,50.86,29.27,33.79,37.28,37.35,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
