"BROMSGROVE, BURCOT",,,,,,,,,,,,
Grid ref,SO984716,Long,-2.024909,Lat,52.342475,,,,,,,
Station no,2407,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.65,1.17,0.85,1.98,2.75,1.03,4.30,1.16,1.02,1.29,,
February,4.21,1.58,1.64,1.35,3.67,0.70,1.88,0.93,1.58,0.83,,
March,0.83,1.66,1.58,4.71,1.67,3.81,1.31,1.04,3.14,3.90,,
April,1.43,2.29,2.63,1.85,1.10,2.14,1.45,2.37,2.83,2.54,,
May,1.90,1.24,3.11,3.88,2.56,0.47,2.61,3.48,3.83,2.07,,
June,1.94,2.33,2.95,2.68,0.58,3.54,3.07,2.94,2.11,4.30,,
July,2.10,1.61,1.41,2.69,2.94,0.95,1.16,2.42,3.30,4.20,,
August,3.12,2.34,4.33,4.57,2.35,5.22,0.98,3.11,3.31,2.12,,
September,0.79,1.45,1.17,3.48,2.19,1.23,1.31,0.70,1.47,4.79,,
October,3.48,1.48,2.51,6.74,0.87,1.49,5.05,6.02,2.21,3.90,,
November,2.66,1.10,2.33,1.80,1.44,3.07,3.36,2.18,1.71,1.06,,
December,4.85,4.97,1.80,1.71,2.29,0.88,2.21,3.73,2.63,4.96,,
Total,30.96,23.22,26.31,37.44,24.41,24.53,28.69,30.08,29.14,35.96,,
Calc annual,30.96,23.22,26.31,37.44,24.41,24.53,28.69,30.08,29.14,35.96,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
