BATLEY,,,,,,,,,,
Grid ref,SE237240,Long,-1.642404,Lat,53.711887,Elevation,275,ft,,
Station no,RR2943,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.4,,,3.8,,
February,,,,,0.8,,,1.2,,
March,,,,,1.8,,,3.2,,
April,,,,,1.5,,,2,,
May,,,,,0.6,,,1.9,,
June,,,,,0.3,,,2.9,,
July,,,,,0.65,,,1.7,,
August,,,,,2.7,,,3,,
September,,,,,2.05,,,1.7,,
October,,,,,2.2,,,2.1,,
November,,,,,2.8,,,2.9,,
December,,,,,3.9,,,2.6,,
Total,,,,,20.7,,,29,,
