"DEIGHTON GROVE (YORK)",,,,,,,,,,,,
Grid ref,SE623462,Long,-1.053159,Lat,53.908221,,,,,,,
Station no,RR4286,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.56,2.85,0.62,1.02,0.77,,
February,,,,,2.96,0.88,1.92,1.11,1.90,0.72,,
March,,,,,1.58,1.68,1.41,0.62,2.69,3.09,,
April,,,,,1.71,2.34,0.89,1.44,2.45,2.14,,
May,,,,,2.18,0.70,1.51,3.45,2.02,1.51,,
June,,,,,1.14,2.28,0.99,3.35,1.12,2.52,,
July,,,,,1.33,1.55,0.54,1.27,2.49,2.79,,
August,,,,,3.07,3.73,2.21,2.07,2.28,3.47,,
September,,,,,1.33,2.39,0.45,1.12,1.88,1.73,,
October,,,,,0.69,1.40,5.04,4.43,0.75,2.55,,
November,,,,,1.42,3.17,2.80,2.90,1.21,0.48,,
December,,,,,1.47,0.22,1.68,2.78,1.47,4.34,,
Total,,,,,,20.90,22.59,25.16,21.28,26.11,,
Calc annual,0.00,0.00,0.00,0.00,18.88,20.90,22.29,25.16,21.28,26.11,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.30,0.00,0.00,0.00,,
