DEIGHTON GROVE,,,,,,,,,,,,,,,,,
Grid ref,SE624464,Long,-1.052,Lat,53.910,Elevation,40,ft,,,,,,,,,
Station no,RR4286,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920
January,,0.56,2.85,0.62,1.02,0.77,1.81,1.51,3.41,2.80,1.43,2.46,0.90,2.51,1.65,2.34,2.80
February,2.96,0.88,1.92,1.11,1.90,0.72,2.39,0.87,1.42,0.72,0.96,2.30,2.50,0.83,2.17,1.52,1.12
March,1.58,1.68,1.41,0.62,2.69,3.09,0.56,1.11,3.02,2.28,2.14,1.22,2.75,1.93,1.20,3.22,1.84
April,1.71,2.34,0.89,1.44,2.45,2.14,2.42,1.16,0.15,2.78,0.43,1.03,1.08,2.09,1.35,1.09,3.63
May,2.18,0.70,1.51,3.45,2.02,1.51,1.97,1.14,3.25,2.05,1.60,1.06,2.43,1.54,2.32,0.89,2.15
June,1.14,2.28,0.99,3.35,1.12,2.52,2.24,2.82,5.98,1.54,1.90,1.09,1.66,2.23,0.75,0.93,2.53
July,1.33,1.55,0.84,1.27,2.49,2.79,3.00,1.69,4.38,0.47,3.40,3.66,1.48,0.88,4.11,4.08,6.75
August,3.07,3.73,2.21,2.07,2.28,3.47,2.70,1.71,5.32,1.06,1.07,1.88,2.57,4.18,1.79,2.67,1.75
September,1.33,2.39,0.45,1.12,1.88,1.73,0.25,2.69,1.71,1.28,0.91,1.27,0.96,0.39,5.31,0.96,1.53
October,0.69,1.40,5.04,4.43,0.75,2.55,2.74,2.65,2.26,2.59,2.09,0.80,2.95,3.32,1.13,3.78,2.21
November,1.42,3.17,2.80,2.90,1.21,0.48,2.84,3.00,2.57,2.15,2.68,1.18,1.76,1.74,1.36,1.62,1.12
December,1.47,0.22,1.68,2.78,1.47,4.34,2.22,4.19,2.10,1.35,4.36,4.33,2.11,0.92,3.35,3.56,2.52
Total,,20.90,22.59,25.16,21.28,26.11,25.14,24.54,35.57,21.07,22.97,22.28,23.15,22.56,26.49,26.66,29.95
,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/015,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/176,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/101,,,,,,,,,,,,,,,,,
