CASTLE CARROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY545551,Long,-2.710836,Lat,54.888561,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3618/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.93,4.94,0.29,0.88,2.82,3.51,2.17,1.38,2.98,2.06,6.26,2.3,2,2.53,1.68,1.91,2.49,1.57,2.01,2.63,2.36,1.83,4.12
February,,,,,,,,1.36,2.49,0.7,3.39,0.74,2.33,1.64,3.89,2.09,0.25,2.28,1.9,3.57,2.42,0.77,0.87,1.72,1.17,0.93,2.15,2.94,0.52,1.51
March,,,,,,,,1.8,3.63,4.55,3.26,1.64,0.86,0.45,1.53,1.14,2.5,1.17,0.78,1.79,3.86,1.12,0.44,1.31,0.75,1.39,2.15,0.47,1.26,0.93
April,,,,,,,,0.61,1.83,1.89,1.15,1.68,1.98,1.77,2,1.22,4.3,2.33,2.49,2.22,1.75,2.1,3.26,0.78,1.44,1.15,1.09,1.74,2.38,1.83
May,,,,,,,,2.79,0.75,3.2,2.16,2.49,2.63,2.23,4.47,1.03,2.37,1.06,0.88,2.18,2.28,1.31,1.95,2.91,1.91,1.38,2.13,2.58,1.48,2.05
June,,,,,,,,4.85,2.41,0.86,0.65,1.14,2.44,3.35,2.43,3.32,3.33,5.05,0.68,2.17,1.77,3.27,1.24,4.69,2.52,2.81,1.3,2.11,2.61,1.06
July,,,,,,,,4.29,4.55,7.03,1.04,3.36,1.64,2.24,2.94,4.33,4.51,1.88,2.13,2.98,3.51,2.46,4.42,3.61,1.42,3.43,4.03,3.31,3.24,3.57
August,,,,,,,,2.61,2.56,2.7,5.25,2.16,7.01,3.36,2.65,4.97,0.07,4.1,1.77,5.95,3.04,3.32,4.11,4.05,2.23,10.83,3.99,3.62,0.61,3.09
September,,,,,,,,1.59,1.16,3.37,0.92,3.98,3.59,6.2,3.21,5.39,2.45,5.6,0.85,5.07,3.7,2.56,3.94,5.96,2.09,2.1,3.53,3.8,1.52,1.92
October,,,,,,,,7.17,2.31,2.5,4.77,3.43,4.02,1.98,3.77,0.79,0.47,2.09,4.89,3.44,0.89,2.45,1.44,8.34,1.65,2.73,3.41,2.68,3.49,2.71
November,,,,,,,,5.99,4,2.99,2.16,0.91,2.09,6.27,0.34,4.15,4.61,2.98,4.32,3.31,6.07,3.39,4,4.59,1.01,1.31,1.1,1.09,4.38,4.49
December,,,,,,,,3.35,1.63,2.78,0.94,3.34,1.12,3.04,1.53,3,1.38,2.5,5.04,1.48,5.31,2.79,1.81,3.97,3.83,2.41,2.62,2.72,3.75,3.15
Total,,,,,,,,39.34,32.26,32.86,26.57,27.69,33.22,34.7,30.14,34.41,28.3,37.3,28.03,36.16,37.13,27.22,29.39,44.42,21.59,32.48,30.13,29.42,27.07,30.43
