"COLERAINE, CUTTS HOUSE",,,,,,,,,,,,,,,,,,,,,
Grid ref,IC855301,Long,-6.659353,Lat,55.11139,Elevation,20,ft,,,,,,,,,,,,,
Station no,6239,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.79,4.07,6.01,5.69,7.65,1.5,4.13,5.12,4.06,2.6,3.74,,,,,,
February,,,,,1.89,3.98,2.87,1.64,4.08,2.36,1.19,4.06,0.19,4.11,0.63,,,,,,
March,,,,,1.12,3.59,2.99,2.84,3.83,0.46,2.82,0.58,2.25,2.14,2.62,,,,,,
April,,,,,3.22,4.87,1.26,2.63,1.33,1.62,1.63,3.01,4.67,1.19,3.41,,,,,,
May,,,,,5.46,4.01,3.31,1.96,0.98,2.66,1.3,3.26,1.79,1.41,3.2,,,,,,
June,,,,,2.32,1.46,3.49,3.5,5.67,2.49,2.35,4.4,1.42,2.56,2.21,,,,,,
July,,,,3.74,4.19,5.17,2.82,2.86,2.15,3.18,4.05,3.07,4.49,2.64,2.38,,,,,,
August,,,,4.88,6.09,2.48,3.11,4.17,5.07,5.51,7,2.4,2.69,1.85,6,,,,,,
September,,,,5.18,5.98,4.31,4.95,4.53,3.33,1.2,2.36,2.63,3.59,1.12,5.97,,,,,,
October,,,,4.87,2.68,3.46,5.2,3.36,4.98,6.59,6.63,3.02,4.55,3.93,6.67,,,,,,
November,,,,5.33,2.57,2.36,5.49,3.89,5.09,4.8,4.56,4.85,3.06,2.77,1.55,,,,,,
December,,,,5.98,4.1,4.49,2.3,1.2,4.13,7.86,4.12,3.04,4.8,2.23,4.06,,,,,,
Total,,,,,43.41,44.25,43.8,38.27,48.29,40.23,42.14,39.44,37.56,28.55,42.44,,,,,,
