"BALNAKETTLE, FETTERCAIRN",,,,,,,,,,,,,,,,,,,,
Grid ref,NO 62608 74693,Long,-2.614868,Lat,56.862142,Elevation,450,ft,,,,,,,,,,,,
Station no,RR1856,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,2.36,4.12,2.31,5.85,4,,,,,,
February,,,,,,,,,,1.75,2.44,2.76,1.95,0.37,,,,,,
March,,,,,,,,,,2.85,2.95,2.58,3.92,1.48,,,,,,
April,,,,,,,,,,3.2,1.65,0.8,1.44,2.33,,,,,,
May,,,,,,,,,,0.33,1.35,3.55,3.46,1.82,,,,,,
June,,,,,,,,,,2.74,6.38,2.5,4.42,3.69,,,,,,
July,,,,,,,,,,2.48,2.75,3.77,2.4,1.19,,,,,,
August,,,,,,,,,3.42,2.37,4.83,6.59,3.22,4.05,,,,,,
September,,,,,,,,,2.97,2.69,0.73,5.14,2.92,3.32,,,,,,
October,,,,,,,,,3.97,7.43,3.2,4.15,3.3,3.56,,,,,,
November,,,,,,,,,3.92,3.3,6.35,7.33,1.07,2.5,,,,,,
December,,,,,,,,,4.84,3.39,6.06,3.1,3.78,2,,,,,,
Total,,,,,,,,,,34.89,42.81,44.58,37.73,30.31,,,,,,
