"BERRIEDALE (LANGWELL)",,,,,,,,,,,,
Grid ref,ND103224,Long,-3.526972,Lat,58.181292,,,,,,,
Station no,5807,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.47,2.60,2.87,1.80,3.30,1.03,3.55,3.12,6.88,4.30,,
February,2.85,1.45,1.88,2.10,3.50,0.53,1.25,3.25,0.65,3.64,,
March,2.92,2.68,1.35,2.35,1.59,1.81,3.42,2.16,1.78,1.25,,
April,1.37,0.80,2.55,1.30,1.60,2.48,1.38,2.10,1.97,2.54,,
May,0.85,2.50,2.52,3.50,3.87,1.48,1.33,3.41,1.15,1.25,,
June,1.04,2.50,1.98,3.12,1.33,2.19,2.91,1.48,1.57,1.72,,
July,1.62,1.15,2.85,2.86,0.37,5.87,5.75,2.50,2.95,1.62,,
August,2.70,4.20,2.72,1.98,0.63,3.70,4.50,1.80,1.38,5.45,,
September,1.48,2.62,2.30,3.30,2.12,2.58,4.17,1.73,1.09,2.50,,
October,2.21,2.98,1.05,5.18,3.90,3.29,1.65,3.55,5.06,3.84,,
November,4.71,5.02,2.65,4.33,2.40,2.41,2.45,1.48,5.89,2.35,,
December,2.74,3.02,2.64,3.02,2.36,2.67,3.34,2.68,1.60,2.32,,
Total,26.96,31.52,27.36,34.84,26.97,30.04,35.70,29.26,31.97,32.78,,
Calc annual,26.96,31.52,27.36,34.84,26.97,30.04,35.70,29.26,31.97,32.78,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
