BERRIEDALE LANGWELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ND103224,Long,-3.526972,Lat,58.181292,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.7,0.8,1.75,4.2,3.75,2.5,2.07,3,1.85,2.67,3.4,4.05,2.68,3.2,3.75,2.05,2.85,0.96,3.13,3.59,5.2,4.92,5.21,2.63,,1.81,2.56,,,,,,,1.46,1.99,3.75,3.98,1.71,2.16,2.55,4.34,3.98,3.64,4.72,1.2,2.27,3.41,2.13,3.85,5.1,1.12,2.02,2.51,3.35,2.38,2.47,2.6,2.87,1.8,3.3,1.03,3.55,3.12,6.88,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1,2.5,5.2,1.6,2.05,2.98,1.67,3.85,3.1,3.49,5.9,3,5,1.6,1.72,3.25,3.2,1.58,2.82,3.19,3.1,1.32,2.78,1.4,,0.65,2.06,,,,,,,1.18,1.35,2.92,0.52,3.6,1.96,2.64,2.7,4.24,1.63,1.34,0.66,3.4,2.09,3.27,1.1,2.16,4.8,1.35,2.97,1.75,1.82,2.85,1.45,1.88,2.1,3.5,0.53,1.25,3.25,0.65,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.7,4,2.4,2.7,2.37,1.96,2.6,1.99,1.27,4.1,2.9,1.8,3.5,2.6,1.99,2.1,2.44,3.99,3.64,2.31,3.29,2.48,1.62,2.84,,1.87,1.15,,,,,,,1,2.08,1.21,2.8,2.04,3.49,2.23,1.3,2.97,1.15,1.83,1.23,1.84,1.79,1.5,2.11,1.35,1.78,1.74,1.02,1.87,1.28,2.92,2.68,1.35,2.35,1.59,1.81,3.42,2.16,1.78,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.9,0.95,2.7,3.2,3,3.29,1.29,3.21,4.3,1.95,1.76,1.42,3.03,2.4,5.25,2.55,2.98,1.9,0.81,3,2.41,2.64,1.39,3.08,,1,1.98,,,,,,,3.05,2.26,2.43,4.45,1.67,5.3,3.44,1.54,0.77,0.77,1.4,3.14,1.26,1.15,2.74,2.05,1.97,1.15,2.25,2.47,1.86,3.02,1.37,0.8,2.55,1.3,1.6,2.48,1.38,2.1,1.97,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1,2.2,2.75,2.3,1.88,2.07,2.81,2.04,1.5,0.85,5,1.8,2.55,2.1,2.35,1.8,3.88,2.41,3.04,0.95,3.28,1.11,0.99,0.5,,2.5,1.67,,,,,,,2.37,1.94,2.74,3.5,1.3,1.94,1.8,1.97,0.86,2,0.78,1.15,1.52,3.44,2.31,2.55,2.85,1.94,1.78,2.71,1.81,1.28,0.85,2.5,2.52,3.5,3.87,1.48,1.33,3.41,1.15,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.8,1.25,1.45,1.1,2.4,3.47,1.58,0.9,1.27,0.53,0.36,5.1,1.8,2.27,0.75,1.85,2.16,2.7,0.79,0.91,3.7,4.57,1.92,0.84,,1.1,1.58,,,,,,,0.15,1.58,3.82,0.32,1.95,1.14,3.33,1.17,2.96,3.23,1.15,1.02,0.66,1.31,1.65,2.74,2.23,2.5,1.81,1.93,1.32,1.65,1.04,2.5,1.98,3.12,1.33,2.19,2.91,1.48,1.57,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,4.7,1.5,0.77,1.85,4.34,1.34,2.87,5.95,1.32,1.8,2.62,1.8,2.1,2.4,3.75,2.65,2.24,0.65,3.56,3.12,2.13,1.04,6.66,0.3,,3,2.63,,,,,,,3.1,1.51,3.79,3.01,3.03,3.58,1.6,4.56,2.2,4.9,4.52,3.5,2.04,4.05,2.97,3.11,2.24,3.42,1.84,2.04,1.48,2.33,1.62,1.15,2.85,2.86,0.37,5.87,5.75,2.5,2.95,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.9,2.52,2.3,0.7,3.01,3.61,1.49,4.13,2.56,3.84,2.16,3.6,1.2,2.79,4.65,2.2,6.74,1.02,2.35,1.27,1.78,3.96,4.02,4.24,,3.23,1.27,,,,,,3,4.49,5.69,2.82,2,2.19,4.95,2.53,1.8,3.46,2.66,2.95,2.07,4.31,2.66,3.83,1.74,2.3,1.33,0.11,3.44,3.1,2.17,2.7,4.2,2.72,1.98,0.63,3.7,4.5,1.8,1.38,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.1,2.57,3.5,3.5,3.26,1.17,2.33,3.03,3.45,2.75,1.9,0.77,6.32,1.89,0.8,2.05,1.58,2.82,2.13,5.58,1.87,3.09,4.88,4.22,,2.78,2.52,,,,,,2.22,4.84,3.74,0.53,2.65,1.37,2.75,5.3,2.12,1.45,2.99,2.18,2.28,0.94,3.77,4.33,3.39,2.93,3.15,4.54,2.18,2.9,5.48,1.48,2.62,2.3,3.3,2.12,2.58,4.17,1.73,1.09,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.6,3.37,2.3,2.11,3.12,3.69,2.69,5.77,2.66,4.92,3.07,2.6,1.11,4.56,1.9,2.6,3.08,2.26,2.91,2.15,5.49,6.76,1.69,3.35,,3.34,1.55,,,,,,2.64,6.13,4.35,2.59,4.82,4.17,5.75,5.96,3.46,2.11,4.09,1.48,2.17,4.35,4.6,2.51,4.55,3.42,0.41,1.83,4.1,1.8,1.45,2.21,2.98,1.05,5.18,3.9,3.29,1.65,3.55,5.06,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.8,2.35,4.3,1.8,3.69,2.77,0.97,3.36,2.1,4.1,8.03,1.89,4.2,5.03,9.05,5,5.13,4.63,5.05,5.02,3.06,5.38,3.44,5.05,,2.01,2.48,,,,,,4.85,2.44,6.3,2.28,2.58,2.59,1.95,3.92,1.94,1.51,2.55,3.03,6.1,3.15,1.18,5.25,4.26,0.76,4.37,2.48,2.66,2.47,3.42,4.71,5.02,2.65,4.33,2.4,2.41,2.45,1.48,5.89,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
