"ROTHBURY, LONG FRAMLINGTON, EMBLETON HALL",,,,,,,,,,,,,,,,,,,,,
Grid ref,NU130013,Long,-1.7967682,Lat,55.305626,Elevation,430,ft,,,,,,,,,,,,,
Station no,3589,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.55,2.43,1.64,2.86,,3.39,2.34,2.74,2.89,1.8,1.64,,,,,,,
February,,,,3,1.35,4.31,3.64,,1.12,1.27,1.84,1.49,0.99,3.46,,,,,,,
March,,,,2.47,0.89,2.02,1.18,,2.96,0.21,2.44,0.79,3.02,2.12,,,,,,,
April,,,,2.02,2.49,2.91,1.57,,1.34,1.94,1.85,3.67,2.33,1.74,,,,,,,
May,,,,2.44,5.2,3.36,2.41,,1.28,1.53,1.5,1.07,2.78,1.19,,,,,,,
June,,,,0.96,2.74,0.61,4.08,,5.33,1.79,0.87,4.97,0.99,1.45,,,,,,,
July,,,,1.98,5.7,3.03,4.86,,1.28,3.28,4.09,3.51,2.07,1.77,,,,,,,
August,,,,4.36,2.5,3.29,3.17,,4.05,3.72,4.7,4.14,1.99,2.01,,,,,,,
September,,,,1.9,2.85,4.64,3.15,,1.43,0.69,4.04,2.73,4.13,1.82,,,,,,,
October,,,,2.49,3.98,2.6,3.94,,3.22,2.59,1.84,1.27,4.75,4.89,,,,,,,
November,,,,4.13,1.45,2.57,4.69,,2.94,3.65,3.71,4.58,0.89,4.14,,,,,,,
December,,,,3.37,3.11,3.69,0.71,,2.06,3.95,3.01,1.43,1.8,1.36,,,,,,,
Total,,,,30.67,34.69,34.67,36.26,,30.4,26.96,32.63,32.54,27.54,27.59,,,,,,,
