"GORING ON THAMES (CROSSWAYS)",,,,,,,,,,,,
Grid ref,SU599806,Long,-1.138057,Lat,51.521150,,,,,,,
Station no,1073/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.87,3.40,3.94,3.51,,
February,,,,,,,2.93,3.06,0.20,2.32,,
March,,,,,,,1.50,1.13,3.57,1.25,,
April,,,,,,1.46,0.17,1.08,2.53,0.60,,
May,,,,,,0.27,1.49,2.61,0.33,2.00,,
June,,,,,,2.16,2.16,4.15,1.35,3.49,,
July,,,,,,1.91,2.94,3.22,2.25,3.18,,
August,,,,,,4.04,2.83,3.69,2.27,2.92,,
September,,,,,,2.24,3.16,4.10,0.01,3.85,,
October,,,,,,1.53,2.15,3.61,2.23,6.66,,
November,,,,,,0.65,1.94,2.43,2.66,3.66,,
December,,,,,,3.85,3.16,3.21,4.87,4.13,,
Total,,,,,,,26.30,35.69,26.21,37.57,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.11,26.30,35.69,26.21,37.57,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
