"WATERMILLOCK, MELL FELL HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3603,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.96,10.12,5.40,5.01,5.03,6.74,7.99,7.22,12.24,1.17,10.55,
February,5.31,0.24,5.11,7.86,1.14,7.33,5.09,2.36,5.36,0.62,0.57,
March,8.39,7.17,3.54,1.46,1.11,2.10,3.74,4.40,4.09,0.51,2.16,
April,4.62,1.34,3.25,3.48,2.23,5.43,2.62,4.29,1.20,1.33,1.64,
May,6.26,2.41,2.01,2.75,4.47,5.37,2.53,2.69,2.08,2.79,2.25,
June,1.64,0.32,2.40,1.00,1.88,0.11,3.99,4.93,6.49,1.57,2.77,
July,5.66,2.66,6.02,2.54,5.00,1.24,4.28,4.71,3.98,5.43,5.70,
August,2.07,6.19,3.64,9.83,3.11,4.26,5.87,8.29,8.12,4.58,9.12,
September,2.59,1.57,3.97,6.58,6.50,4.31,4.87,7.56,2.42,2.14,3.94,
October,3.12,2.61,1.81,10.03,4.39,7.56,4.99,7.57,11.05,6.20,9.62,
November,4.98,2.03,2.40,6.35,4.69,1.88,10.02,4.82,9.95,10.72,5.97,
December,4.87,8.15,9.30,3.91,11.82,7.28,1.61,2.00,4.05,12.36,5.26,
Total,55.47,44.81,48.85,60.80,51.37,53.61,57.60,60.84,71.03,49.42,59.55,
Calc annual,55.47,44.81,48.85,60.80,51.37,53.61,57.60,60.84,71.03,49.42,59.55,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
