"GAIRLOCH, THE MANSE",,,,,,,,,,,,,,,,,,,,
Grid ref,NG799774,Long,-5.698727,Lat,57.732229,Elevation,40,ft,,,,,,,,,,,,
Station no,RR8111,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,6,4.97,6.48,4.04,3.17,2.87,,,,,,
February,,,,,,,,,9.06,2.45,5.65,4.7,3.33,3.49,,,,,,
March,,,,,,,,,5.74,2.32,4.05,2.8,4.04,5.64,,,,,,
April,,,,,,,,,3.13,2.23,6.72,5.01,5.25,3.97,,,,,,
May,,,,,,,,,2.56,2.77,3.7,2.52,2.52,2.8,,,,,,
June,,,,,,,,,3.53,1.51,2.14,3.66,2.98,4.64,,,,,,
July,,,,,,,,,1.39,3.25,2.92,6.58,3.29,1.48,,,,,,
August,,,,,,,,,4.72,4.42,4.5,3.74,5.21,1.77,,,,,,
September,,,,,,,,,10.34,2.49,2.03,5.98,1.97,3.69,,,,,,
October,,,,,,,,,2.04,6.61,4.86,2.3,5.89,4.89,,,,,,
November,,,,,,,,,5.08,5.48,4.92,5.37,8.99,9.59,,,,,,
December,,,,,,,,,5.99,5.75,4.87,5.63,7.77,5,,,,,,
Total,,,,,,,,,59.58,44.25,52.84,52.33,54.41,49.83,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1912 ? Leak discovered in G,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8111,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
