"GAIRLOCH, THE MANSE",,,,,,,,,,,,
Grid ref,NG799774,Long,-5.698727,Lat,57.732229,,,,,,,
Station no,RR8111,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,6.00,4.97,,
February,,,,,,,,,9.06,2.45,,
March,,,,,,,,,5.74,2.32,,
April,,,,,,,,,3.13,2.23,,
May,,,,,,,,,2.56,2.77,,
June,,,,,,,,,3.53,1.51,,
July,,,,,,,,,1.39,3.25,,
August,,,,,,,,,4.72,4.42,,
September,,,,,,,,,10.34,2.49,,
October,,,,,,,,,2.04,6.61,,
November,,,,,,,,,5.08,5.48,,
December,,,,,,,,,5.99,5.75,,
Total,,,,,,,,,59.58,44.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.58,44.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
