FOREST-ROW-WIRKSWORTH,,,,,,,,,,
Grid ref,TQ430345,Long,0.040613385,Lat,51.09199,Elevation,217,ft,,
Station no,574/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.73,2.54,3.61,0.92,6.29,7.87,4.66,,
February,,0.56,3.32,0.22,5.86,2.62,6,1.05,,
March,,1.61,3.5,4.16,0.68,1.46,4.36,0.58,,
April,,2.97,0.8,3.23,3.69,2.61,3.17,0.4,,
May,,2.99,1.9,0.83,1.64,1.03,2.32,2.47,,
June,,1.42,1.63,1.76,3.34,4.36,2.04,0.81,,
July,,4.31,2.37,1.92,1.24,4.24,1.01,1.57,,
August,,0.62,1.29,2.28,4.94,0.56,2.76,1.81,,
September,,2.62,3.34,1.94,5.44,2.91,2.13,2.79,,
October,,8.21,2.16,2.66,5.08,2.48,2.81,4.66,,
November,,1.75,1,4.81,8.33,5.76,1.85,4.37,,
December,,0.78,0.61,9.15,4.89,4.03,4.45,4.33,,
Total,,31.57,24.46,36.57,46.05,38.35,40.77,29.5,,
