BALLINAMALLARD (ROSSFORD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH216519,Long,-7.668011,Lat,54.415345,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6187/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.76,3.42,1.52,6.26,4.71,4.67,3.33,4.02,4.28,5.45,4.18,2.63,3.75,5.19,1.24,5.19,3.39,,,,,
February,,,,,,,,,3.39,3.2,3.33,1.16,3.59,1.51,3.54,3.86,0.71,2.4,3.7,3.88,3.76,3.96,1.57,4.61,4.53,,,,,
March,,,,,,,,,3.69,5.03,2.95,2.92,2.04,1,2.01,1.12,5.29,2.82,2.46,2.33,3.52,2.27,0.33,4.33,0.72,,,,,
April,,,,,,,,,1.94,4.41,1.6,1.93,2.21,1.96,2.02,1.08,3.35,1.72,3.72,5.05,2.32,1.99,1.83,0.88,2.04,,,,,
May,,,,,,,,,1.87,1.45,1.69,3.69,3,2.76,4.49,1.23,6.47,1.49,2.54,0.84,1.92,2.22,2.17,3.47,3.42,,,,,
June,,,,,,,,,2.42,1.4,1.06,0.65,3.22,4.4,4.45,3.7,3.1,3.47,1.59,2.31,3.16,2.86,1.44,2.88,4.86,,,,,
July,,,,,,,,,4.74,3.5,3.5,4.73,2.5,3.89,4.47,5,3.54,3.64,3.28,7.28,3.05,1.46,5.12,5.05,2.01,,,,,
August,,,,,,,,,1.02,1.17,3.95,6.83,7.92,3.67,1.95,5.98,0.78,4.15,3.63,5.77,5.51,4.98,3.45,3.29,0.57,,,,,
September,,,,,,,,,2.18,3.59,0.93,4.92,3.47,5.36,4.12,6.66,2.89,3.1,2.24,9.4,3.09,1.54,4.88,4.98,4.11,,,,,
October,,,,,,,,,2.42,5.32,4.28,3.84,3.73,5.83,3.91,2.01,2.63,3.66,3.81,4.39,1.61,6.31,3.01,6.6,2.45,,,,,
November,,,,,,,,,7.06,4.44,6.41,1.23,3.15,6.36,0.97,4.68,6.84,3.34,5.25,4.38,5.6,1.75,5.01,6.17,3.95,,,,,
December,,,,,,,,,4.08,4.74,2.41,5.39,3.48,6.19,4.19,6.16,3.3,7.81,6.82,3.47,5.65,3.69,2.95,4.69,4.5,,,,,
Total,,,,,,,,,38.57,41.67,33.63,43.55,43.02,47.6,39.45,45.5,43.18,43.05,43.22,51.73,42.94,38.22,33,52.14,36.55,,,,,
